 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0202020126 DETERMINACAO DE TEMPO DE TROMBINA";53032,80;54737,10;54620,25;55480,95;57045,60;50698,65;59052,00;60602,40;139288,05;584557,80
"0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)";752465,70;821844,18;925923,44;1002058,59;1128790,87;1424151,40;1426043,96;1448068,05;1694591,30;10623937,49
"0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)";276909,36;329221,62;353163,72;376112,10;401765,91;512953,35;484048,11;503562,15;472254,51;3709990,83
"0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)";363076,35;297119,55;286467,09;312088,14;308492,73;269871,42;338001,30;375746,28;399213,36;2950076,22
"0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE";8840,61;10907,94;7476,09;9864,00;12071,07;9535,20;7689,81;8080,26;10242,12;84707,10
"0202020177 DOSAGEM DE ANTITROMBINA III";10912,32;10588,32;11106,72;12000,96;15040,08;11553,84;8689,68;9758,88;9246,96;98897,76
"0202020185 DOSAGEM DE FATOR II";435,42;9727,92;15494,58;18616,86;10460,70;605,34;2925,81;1231,92;329,22;59827,77
"0202020193 DOSAGEM DE FATOR IX";3462,55;3949,59;3059,22;4002,86;4368,14;3584,31;5288,95;3226,64;2488,47;33430,73
"0202020207 DOSAGEM DE FATOR V";458,81;908,16;548,68;950,73;652,74;714,23;2672,45;1381,16;562,87;8849,83
"0202020215 DOSAGEM DE FATOR VII";776,64;809,00;857,54;1164,96;1011,25;1075,97;4530,40;2087,22;736,19;13049,17
"0202020223 DOSAGEM DE FATOR VIII";13571,61;22157,46;13511,94;14221,35;16720,86;13518,57;16104,27;15441,27;30431,70;155679,03
"0202020231 DOSAGEM DE FATOR VIII (INIBIDOR)";6375,00;3345,00;8055,00;11775,00;12735,00;14850,00;16110,00;11955,00;7995,00;93195,00
"0202020240 DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO)";26095,80;30993,49;25169,21;31220,41;36250,47;26795,47;24809,92;20025,69;18304,88;239665,34
"0202020258 DOSAGEM DE FATOR X";479,52;506,16;599,40;839,16;952,38;672,66;3756,24;1438,56;372,96;9617,04
"0202020266 DOSAGEM DE FATOR XI";3115,62;2660,12;2450,59;3042,74;4172,38;2778,55;5985,27;3106,51;1539,59;28851,37
"0202020274 DOSAGEM DE FATOR XII";2732,60;2364,75;2469,85;3415,75;4971,23;2827,19;6547,73;3331,67;1502,93;30163,70
"0202020282 DOSAGEM DE FATOR XIII";486,18;606,06;519,48;965,70;845,82;406,26;3749,58;1571,76;446,22;9597,06
"0202020290 DOSAGEM DE FIBRINOGENIO";26721,40;20336,60;18436,80;13565,40;16776,20;15566,40;19743,20;17562,80;40622,60;189331,40
"0202020304 DOSAGEM DE HEMOGLOBINA";80106,21;75967,56;88307,01;99234,27;123643,89;102118,32;106200,36;139569,66;158703,84;973851,12
"0202020312 DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC";11072,88;5844,93;2235,87;221,13;1883,70;131,04;862,68;2822,82;152,88;25227,93
"0202020320 DOSAGEM DE HEMOGLOBINA FETAL";-;-;2,73;212,94;262,08;136,50;-;2,73;5,46;622,44
"0202020339 DOSAGEM DE HEMOSSIDERINA";-;-;73,71;81,90;491,40;43,68;-;10,92;2869,23;3570,84
"0202020347 DOSAGEM DE PLASMINOGENIO";-;-;8,22;411,00;201,39;110,97;12,33;69,87;4,11;817,89
"0202020355 ELETROFORESE DE HEMOGLOBINA";454910,67;562715,74;404974,03;348479,74;297114,37;233411,96;249286,22;257748,63;265923,14;3074564,50
"0202020363 ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)";427733,67;387815,61;413551,32;413766,99;451954,23;285719,07;318588,27;416243,10;367277,82;3482650,08
"0202020371 HEMATOCRITO";189427,77;179068,14;200264,76;194346,72;245349,27;190354,95;180354,87;225720,90;282405,87;1887293,25
