 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0202090213 PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES ( ELISA )";688,70;388,00;29,10;339,50;717,80;203,70;349,20;591,70;329,80;3637,50
"0202090221 DOSAGEM DE FOSFATASE ACIDA NO ESPERMA";-;-;2,01;-;-;2,01;-;10,05;2,01;16,08
"0202090230 PESQUISA DE CARACTERES FISICOS NO LIQUOR";124,74;137,97;189,00;149,31;43,47;22,68;122,85;175,77;107,73;1073,52
"0202090248 PESQUISA DE CELULAS ORANGIOFILAS";-;-;-;-;1,89;5,67;-;3,78;-;11,34
"0202090256 PESQUISA DE CRISTAIS C/ LUZ POLARIZADA";-;1,89;-;-;-;-;-;-;-;1,89
"0202090264 ESPERMOGRAMA";124,80;216,00;355,20;292,80;412,80;57,60;81,60;48,00;67,20;1656,00
"0202090272 PESQUISA DE RAGOCITOS NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;-;-;-;7,56;15,12;5,67;28,35
"0202090280 PROVA DE PROGRESSAO ESPERMATICA (CADA)";-;-;38,80;-;-;-;-;-;19,40;58,20
"0202090299 PROVA DO LATEX P/ HAEMOPHILLUS INFLUENZAE, STREPTOCOCCUS PNEUMONIAE, NEISSERIA MENINGITIDIS (SOROTIP";43,47;18,90;22,68;58,59;7,56;17,01;3,78;175,77;35,91;383,67
"0202090302 PROVA DO LATEX P/ PESQUISA DO FATOR REUMATOIDE";5823,09;4742,01;3666,60;6061,23;6907,95;4974,48;6136,83;7130,97;9047,43;54490,59
"0202090310 REACAO DE PANDY";-;-;-;30,24;-;-;15,12;15,12;-;60,48
"0202090329 REACAO DE RIVALTA NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;-;-;-;-;-;1,89;1,89
"0202090345 TESTE DE GASTROACIDOGRAMA - SECRECAO BASAL POR 60 EM 4 AMOSTRAS";-;-;4,69;-;-;9,38;4,69;-;-;18,76
"0202100022 DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)";10620,96;10588,48;4320,00;-;-;-;-;4320,00;16160,00;46009,44
"0202100030 DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)";12764,64;16662,24;62880,00;70240,00;80160,00;32480,00;56800,00;43360,00;40480,00;415826,88
"0202100049 QUANTIFICACAO/AMPLIFICACAO DO HER-2";5280,00;7440,00;3000,00;4680,00;4680,00;2040,00;480,00;120,00;1440,00;29160,00
"0202100219 DIAGNOSTICO DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TECNICA MOLECULAR";-;-;-;-;-;-;-;3606,00;23655,36;27261,36
"0202100227 REAVALIACAO DIAGNOSTICA DE LEUCEMIA CROMOSSOMA PHILADELPHIA POSITIVO POR TECNICA MOLECULAR";-;-;-;-;-;-;-;31337,28;51554,88;82892,16
"0202100235 PESQUISA DE MUTACAO DO GENE DA PROTROMBINA";-;-;-;-;-;-;-;13320,00;10620,00;23940,00
"0202110044 DOSAGEM DE FENILALANINA (CONTROLE / DIAGNOSTICO TARDIO)";506,00;407,00;539,00;759,00;924,00;759,00;45248,50;874,50;984,50;51001,50
"0202110052 DOSAGEM DE FENILALANINA E TSH OU T4";359224,80;-;1004,30;1403,60;1076,90;629,20;508,20;471,90;145,20;364464,10
"0202110060 DOSAGEM DE FENILALANINA TSH OU T4 E DETECCAO DA VARIANTE DE HEMOGLOBINA (COMPONENTE DO TESTE DO PEZ";6362837,80;5722670,80;5065052,30;2281276,80;2233123,20;2027070,10;2168730,30;1959207,80;1916279,20;29736248,30
"0202110079 DOSAGEM DE TRIPSINA IMUNORREATIVA (COMPONENTE DO TESTE DO PEZINHO)";612997,00;496386,00;590870,50;601100,50;588813,50;534330,50;571560,00;516884,50;506709,50;5019652,00
"0202110087 DOSAGEM DE TSH E T4 LIVRE (CONTROLE / DIAGNOSTICO TARDIO)";5913,60;6573,60;7576,80;5174,40;12751,20;8408,40;54212,40;76863,60;-;177474,00
"0202110095 DOSAGEM DE 17 HIDROXI PROGESTERONA EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)";800744,00;724048,00;890232,00;782312,00;822664,00;706176,00;737712,00;733240,00;733296,00;6930424,00
"0202110109 DOSAGEM DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SANGUE EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO";550511,50;498228,50;580844,00;583687,50;565933,50;485699,50;551457,50;504460,00;504333,50;4825155,50
"0202110141 DOSAGEM DE CLORETO NO SUOR";39150,00;46200,00;24000,00;36600,00;77400,00;36300,00;38550,00;50250,00;54150,00;402600,00
"0202120015 DETERMINACAO DE ANTICORPOS ANTIPLAQUETARIOS";10,65;-;-;10,65;-;31,95;447,30;213,00;42,60;756,15
"0202120023 DETERMINACAO DIRETA E REVERSA DE GRUPO ABO";190158,74;176605,33;185935,03;252369,07;293745,81;258808,07;207568,70;203743,66;251086,75;2020021,16
"0202120031 FENOTIPAGEM DE SISTEMA RH - HR";626827,05;438588,30;467620,20;567943,20;1003293,90;887741,40;2061722,85;2545275,45;917635,95;9516648,30
"0202120040 IDENTIFICACAO DE ANTICORPOS SERICOS IRREGULARES C/ PAINEL DE HEMACIAS";78831,30;29575,05;25197,90;31971,30;19106,10;31087,35;45262,50;59916,90;69555,15;390503,55
"0202120058 PESQUISA DE ANTICORPOS IRREGULARES PELO METODO DA ELUICAO";-;-;590,58;1279,59;1644,36;1499,61;69,48;-;4464,09;9547,71
"0202120066 PESQUISA DE ANTICORPOS SERICOS IRREGULARES 37OC";28,95;162,12;179,49;162,12;81,06;162,12;138,96;984,30;277,92;2177,04
"0202120074 PESQUISA DE ANTICORPOS SERICOS IRREGULARES A FRIO";-;243,18;-;5,79;28,95;5,79;-;-;3531,90;3815,61
"0202120082 PESQUISA DE FATOR RH (INCLUI D FRACO)";161087,34;150232,83;153535,90;231197,09;277211,28;228125,55;192169,90;205923,33;233460,33;1832943,55
"0202120090 TESTE INDIRETO DE ANTIGLOBULINA HUMANA (TIA)";65623,74;64324,26;63502,53;215781,93;230919,78;160843,41;84597,24;95474,26;230193,60;1211260,75
"0202120104 TITULACAO DE ANTICORPOS ANTI A E/OU ANTI B";555,84;440,04;-;-;-;-;723,75;434,25;393,72;2547,60
"0203010019 EXAME CITOPATOLOGICO CERVICO-VAGINAL/MICROFLORA";2921099,12;1993217,87;462250,40;483724,97;462752,24;265668,52;599249,46;812717,92;909100,92;8909781,42
"0203010027 EXAME CITOPATOLOGICO HORMONAL SERIADO (MINIMO 3 COLETAS)";-;-;-;-;-;-;-;-;104,80;104,80
"0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)";2193,90;8764,95;10255,95;13067,55;14196,45;20980,50;25508,32;26786,88;31880,16;153634,66
"0203010043 EXAME CITOPATOLOGICO DE MAMA";6244,27;6292,18;5592,28;9769,81;4170,12;3852,06;8022,18;5477,70;7598,10;57018,70
"0203010078 CONTROLE DE QUALIDADE DO EXAME CITOPATOLOGICO CERVICO VAGINAL";1792,00;52156,16;148700,16;119365,12;278575,36;132437,76;241777,82;339483,28;386696,42;1700984,08
"0203010086 EXAME CITOPATOLOGICO CERVICO VAGINAL/MICROFLORA-RASTREAMENTO";35799,20;211510,20;1432698,00;1752642,40;1648332,70;1024109,70;2599846,86;3917693,10;4559213,01;17181845,17
"0203020014 DETERMINACAO DE RECEPTORES TUMORAIS HORMONAIS";152207,10;178885,95;185113,20;191143,80;223984,35;179672,55;262582,40;315769,00;266576,50;1955934,85
"0203020022 EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - PECA CIRURGICA";30463,05;16592,64;14475,35;5185,20;1814,82;3111,12;2452,24;1667,79;18654,54;94416,75
"0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL";899808,00;1188168,00;1338288,00;1609032,00;1595352,00;1016544,00;1901847,76;2172269,04;2245917,72;13967226,52
"0203020049 IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)";2025564,00;2512796,00;2773064,00;3202980,00;3607320,00;2671864,00;3528980,32;3839331,84;3686637,12;27848537,28
"0203020065 EXAME ANATOMOPATOLOGICO DE MAMA - BIOPSIA";40056,00;67008,00;23662,87;41113,85;44867,57;33455,90;35884,89;62970,42;107196,37;456215,87
"0203020073 EXAME ANATOMOPATOLOGICO DE MAMA - PECA CIRURGICA";6092,61;7950,64;10154,35;12142,01;7216,07;7950,64;10500,61;7968,33;28414,20;98389,46
"0203020081 EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - BIOPSIA";33360,00;25584,00;34800,00;48000,00;41088,00;29400,00;36899,08;60680,64;67613,24;377424,96
"0204010012 DACRIOCISTOGRAFIA";-;-;-;-;-;-;-;683,90;1270,10;1954,00
"0204010020 PLANIGRAFIA DE LARINGE";-;-;-;-;-;109,28;-;-;-;109,28
"0204010039 RADIOGRAFIA BILATERAL DE ORBITAS (PA + OBLIQUAS + HIRTZ)";11170,54;5287,78;2488,86;2715,12;4902,30;4265,42;4131,34;586,60;419,00;35966,96
"0204010047 RADIOGRAFIA DE ARCADA ZIGOMATICO-MALAR (AP+ OBLIQUAS)";5185,20;4496,16;3340,80;4217,76;5679,36;4760,64;4614,48;1823,52;2032,32;36150,24
"0204010055 RADIOGRAFIA DE ARTICULACAO TEMPORO-MANDIBULAR BILATERAL";8497,32;7667,70;4257,04;4081,06;3905,08;3067,08;2296,12;2203,94;2321,26;38296,60
"0204010063 RADIOGRAFIA DE CAVUM (LATERAL + HIRTZ)";28710,24;26522,40;24080,00;23694,72;27292,96;11654,72;10333,76;13085,76;17688,48;183063,04
"0204010071 RADIOGRAFIA DE CRANIO (PA + LATERAL + OBLIQUA / BRETTON + HIRTZ)";16616,40;14905,35;7740,90;7923,90;6469,05;5691,30;7631,10;5636,40;7155,30;79769,70
"0204010080 RADIOGRAFIA DE CRANIO (PA + LATERAL)";137187,36;142661,92;94293,28;83757,76;81561,92;69011,04;76147,52;101926,08;112702,24;899249,12
"0204010098 RADIOGRAFIA DE LARINGE";189,42;189,42;114,80;68,88;57,40;149,24;40,18;17,22;63,14;889,70
"0204010101 RADIOGRAFIA DE MASTOIDE / ROCHEDOS (BILATERAL)";668,22;1200,99;261,87;460,53;695,31;388,29;577,92;677,25;623,07;5553,45
"0204010110 RADIOGRAFIA DE MAXILAR (PA + OBLIQUA)";11959,20;6350,40;4550,40;5515,20;5997,60;4608,00;4622,40;4312,80;2570,40;50486,40
"0204010128 RADIOGRAFIA DE OSSOS DA FACE (MN + LATERAL + HIRTZ)";61861,16;52006,28;36662,50;38891,58;40257,52;33637,32;40358,08;45679,38;48042,54;397396,36
"0204010136 RADIOGRAFIA DE REGIAO ORBITARIA (LOCALIZACAO DE CORPO ESTRANHO)";2912,70;95,76;23,94;7,98;71,82;71,82;15,96;47,88;63,84;3311,70
"0204010144 RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ)";207053,52;169340,88;149715,96;138384,60;138377,28;87620,40;91968,48;103995,24;101140,44;1187596,80
"0204010152 RADIOGRAFIA DE SELA TURSICA (PA + LATERAL + BRETTON)";2138,40;1490,40;4154,40;2491,20;7732,80;2455,20;2347,20;806,40;136,80;23752,80
"0204010160 RADIOGRAFIA OCLUSAL";1210,95;1361,88;2130,57;1400,49;5963,49;3387,15;7725,51;19915,74;4892,94;47988,72
"0204010179 RADIOGRAFIA PANORAMICA";289045,12;257285,35;232188,39;323111,46;290991,75;124713,33;171723,51;281140,02;283993,50;2254192,43
"0204010187 RADIOGRAFIA PERI-APICAL INTERPROXIMAL (BITE-WING)";207231,50;188261,50;169368,50;169216,25;181384,00;42010,50;-;-;-;957472,25
"0204010209 TELERADIOGRAFIA COM TRACADOS E SEM TRACADOS";25513,40;18925,24;8198,12;13317,92;12313,28;4327,68;6472,20;6845,72;7444,64;103358,20
"0204020026 PLANIGRAFIA DE COLUNA VERTEBRAL";6193,60;8388,80;2136,40;3939,60;4292,40;4802,00;3057,60;3057,60;4018,00;39886,00
"0204020034 RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO + OBLIQUAS)";197262,73;161127,19;129673,11;137386,69;123317,32;92179,78;97769,21;90605,41;92438,01;1121759,45
"0204020042 RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO)";163865,52;155200,50;132809,04;131826,24;124217,73;96199,74;103497,03;128935,17;118517,49;1155068,46
"0204020050 RADIOGRAFIA DE COLUNA CERVICAL FUNCIONAL / DINAMICA";38309,67;27350,82;23985,99;24768,03;30355,50;23728,74;38731,56;39626,79;37939,23;284796,33
"0204020069 RADIOGRAFIA DE COLUNA LOMBO-SACRA";540021,12;565086,64;482908,56;501365,20;445578,80;331386,56;384750,80;413586,56;455618,16;4120302,40
"0204020077 RADIOGRAFIA DE COLUNA LOMBO-SACRA (C/ OBLIQUAS)";61998,90;77971,70;82441,70;79729,90;79670,30;58184,50;84572,40;82009,60;76377,40;682956,40
"0204020085 RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA";40714,56;55028,80;59670,80;70524,64;54505,52;32797,84;43179,04;56294,80;40697,68;453413,68
"0204020093 RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL)";256754,80;146944,72;134386,36;134826,04;134587,88;119098,32;130594,12;165612,80;164596,04;1387401,08
"0204020107 RADIOGRAFIA DE COLUNA TORACO-LOMBAR";212941,05;175869,75;153072,36;163269,40;161595,84;115611,86;118170,85;145823,51;153831,30;1400185,92
"0204020115 RADIOGRAFIA DE COLUNA TORACO-LOMBAR DINAMICA";55215,52;34727,82;28573,72;37719,18;33123,08;21344,60;25597,94;29243,66;17387,28;282932,80
"0204020123 RADIOGRAFIA DE REGIAO SACRO-COCCIGEA";10686,00;8057,40;6138,60;5787,60;4789,20;4851,60;6279,00;6957,60;6614,40;60161,40
"0204030013 BRONCOGRAFIA UNILATERAL";-;-;-;-;-;-;-;-;220,82;220,82
"0204030021 DUCTOGRAFIA (POR MAMA)";-;-;-;-;-;57,16;-;-;-;57,16
"0204030030 MAMOGRAFIA";156420,00;169425,00;148657,50;166522,50;95310,00;75600,00;132975,00;132300,00;172890,00;1250100,00
"0204030048 MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA";4437,50;1687,50;187,50;250,00;1625,00;-;375,00;1187,50;687,50;10437,50
"0204030056 RADIOGRAFIA DE CORACAO E VASOS DA BASE (PA + LATERAL + OBLIQUA)";186,16;-;-;-;-;28,64;-;85,92;-;300,72
"0204030064 RADIOGRAFIA DE CORACAO E VASOS DA BASE (PA + LATERAL)";1556,60;-;135,75;108,60;9,05;796,40;-;-;-;2606,40
"0204030072 RADIOGRAFIA DE COSTELAS (POR HEMITORAX)";68918,58;69998,31;65905,38;62775,00;56070,63;64574,55;59334,93;74375,82;74986,83;596940,03
"0204030080 RADIOGRAFIA DE ESOFAGO";6445,40;7465,12;8023,08;6772,48;6753,24;4867,72;4252,04;2789,80;3751,80;51120,68
"0204030099 RADIOGRAFIA DE ESTERNO";3942,12;3854,34;2409,96;1500,24;542,64;518,70;470,82;574,56;662,34;14475,72
"0204030102 RADIOGRAFIA DE MEDIASTINO (PA E PERFIL)";97924,41;83205,63;82638,18;99879,93;107536,14;44776,17;3701,52;2034,09;139,68;521835,75
"0204030110 RADIOGRAFIA DE PNEUMOMEDIASTINO";-;-;-;-;8317,35;54,54;109,08;2672,46;4199,58;15353,01
"0204030129 RADIOGRAFIA DE TORAX (APICO-LORDORTICA)";34594,32;7522,68;19904,80;13510,80;21222,52;10541,76;10552,88;14939,72;14261,40;147050,88
"0204030137 RADIOGRAFIA DE TORAX (PA + INSPIRACAO + EXPIRACAO + LATERAL)";55905,28;34869,20;30788,00;73690,72;41528,00;14090,88;40110,32;55661,84;42286,96;388931,20
"0204030145 RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA)";167041,94;35843,64;46228,92;21623,98;25193,92;40447,30;31408,26;14532,18;101665,16;483985,30
"0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL)";1557601,00;1213017,00;1265162,50;1372845,00;1352933,00;995609,50;1192772,50;1394058,50;1551198,00;11895197,00
"0204030161 RADIOGRAFIA DE TORAX (PA PADRAO OIT)";1316,55;550,20;-;-;-;72,05;32,75;314,40;-;2285,95
"0204030170 RADIOGRAFIA DE TORAX (PA)";2921007,20;2328928,16;2345453,92;2497845,92;3288392,32;2073501,28;2490732,00;2876555,52;2926339,20;23748755,52
"0204030188 MAMOGRAFIA BILATERAL PARA RASTREAMENTO";5142510,00;5715630,00;5616540,00;4837725,00;3777885,00;2254725,00;3069945,00;4586715,00;5314185,00;40315860,00
"0204040019 RADIOGRAFIA DE ANTEBRACO";208046,52;183091,98;186712,86;199424,46;204111,06;179933,34;205099,74;230702,70;241918,44;1839041,10
"0204040027 RADIOGRAFIA DE ARTICULACAO ACROMIO-CLAVICULAR";11736,40;12062,00;14733,40;12787,20;14837,00;13579,00;18396,40;21563,60;26196,00;145891,00
"0204040035 RADIOGRAFIA DE ARTICULACAO ESCAPULO-UMERAL";108698,60;114300,40;110955,60;119051,20;125274,60;76923,00;88052,60;95067,80;110474,60;948798,40
"0204040043 RADIOGRAFIA DE ARTICULACAO ESTERNO-CLAVICULAR";4195,80;3470,60;4351,20;3811,00;6904,20;6186,40;9383,20;11899,20;3485,40;53687,00
"0204040051 RADIOGRAFIA DE BRACO";170287,32;149471,49;150489,36;158034,03;162152,13;143807,16;167373,57;196122,57;197148,21;1494885,84
"0204040060 RADIOGRAFIA DE CLAVICULA";134391,40;122344,20;129196,60;135109,20;133621,80;115262,40;131475,80;145639,40;155925,40;1202966,20
"0204040078 RADIOGRAFIA DE COTOVELO";208216,90;192676,30;195986,20;208169,70;215869,20;167855,00;196363,80;220477,10;242885,30;1848499,50
"0204040086 RADIOGRAFIA DE DEDOS DA MAO";33073,70;21715,68;22727,28;24300,88;25778,94;20024,06;23868,14;49056,98;36338,92;256884,58
"0204040094 RADIOGRAFIA DE MAO";348238,80;326100,60;312228,00;355055,40;374799,60;307339,20;363888,00;440628,30;481975,20;3310253,10
"0204040108 RADIOGRAFIA DE MAO E PUNHO (P/ DETERMINACAO DE IDADE OSSEA)";24558,00;35604,00;29412,00;32496,00;32352,00;24564,00;28932,00;31962,00;32268,00;272148,00
"0204040116 RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES)";350920,50;329645,82;305131,26;341360,46;1125323,64;302449,98;353976,84;395401,02;437032,68;3941242,20
"0204040124 RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA)";368178,62;365324,79;368047,33;416023,46;457345,26;347759,57;417930,62;439095,95;472464,34;3652169,94
"0204050014 CLISTER OPACO C/ DUPLO CONTRASTE";15235,44;13516,08;7737,12;8787,84;12942,96;13468,32;5349,12;6781,92;8262,48;92081,28
"0204050022 COLANGIOGRAFIA PER-OPERATORIA";521,76;782,64;423,93;423,93;130,44;130,44;65,22;65,22;-;2543,58
"0204050030 COLANGIOGRAFIA POS-OPERATORIA";2543,58;2413,14;1630,50;1206,57;978,30;945,69;163,05;97,83;65,22;10043,88
"0204050057 FISTULOGRAFIA";408,06;362,72;362,72;725,44;317,38;181,36;181,36;-;226,70;2765,74
"0204050065 HISTEROSSALPINGOGRAFIA";3763,22;1541,56;3128,46;2629,72;3763,22;1314,86;1314,86;1813,60;1586,90;20856,40
"0204050081 PIELOGRAFIA ASCENDENTE";1875,96;729,54;208,44;52,11;-;52,11;-;-;-;2918,16
"0204050103 PLANIGRAFIA DE RIM S/ CONTRASTE";-;-;-;-;14,48;14,48;-;-;-;28,96
"0204050111 RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA)";44357,82;37630,11;17951,29;26985,95;30773,64;31020,43;31535,47;44829,94;38027,12;303111,77
"0204050120 RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS)";114030,90;92947,50;70257,60;82849,50;84823,20;48699,90;74143,80;106824,60;107757,90;782334,90
"0204050138 RADIOGRAFIA DE ABDOMEN SIMPLES (AP)";265282,83;207865,47;189997,83;193926,99;210331,95;183265,20;201455,49;233670,30;253000,62;1938796,68
"0204050146 RADIOGRAFIA DE ESTOMAGO E DUODENO";10495,56;9826,38;8452,80;6128,28;4825,14;1514,46;1690,56;810,06;915,72;44658,96
"0204050154 RADIOGRAFIA DE INTESTINO DELGADO (TRANSITO)";5853,57;7281,27;5044,54;7328,86;2284,32;1237,34;1570,47;1284,93;1142,16;33027,46
"0204050162 RADIOGRAFIA P/ ESTUDO DO DELGADO C/ DUPLO CONTRASTE (ENTEROCLISE)";-;-;-;-;-;-;-;48,09;-;48,09
"0204050170 URETROCISTOGRAFIA";54142,29;47003,22;38196,63;39864,15;41635,89;34965,81;29546,37;19697,58;23918,49;328970,43
"0204050189 UROGRAFIA VENOSA";12972,40;9184,00;3616,20;3444,00;4362,40;1377,60;746,20;574,00;172,20;36449,00
"0204060010 ARTROGRAFIA";5712,84;-;45,34;181,36;45,34;-;-;-;-;5984,88
"0204060028 DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR)";765008,40;826720,40;512870,80;519482,80;410660,30;245029,70;451379,20;687482,70;628195,10;5046829,40
"0204060036 ESCANOMETRIA";7179,48;11686,08;9386,16;12237,75;10994,55;6744,36;5423,46;9300,69;13185,69;86138,22
"0204060044 PLANIGRAFIA DE OSSO - SUBSIDIARIA A OUTROS EXAMES (POR PLANO)";-;18,68;-;-;37,36;37,36;-;-;-;93,40
"0204060052 PLANIGRAFIA DE OSSO EM 2 PLANOS";-;-;18,68;56,04;-;-;-;280,20;-;354,92
"0204060060 RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL";143706,15;99595,86;97497,96;106417,92;102276,51;95765,25;107365,86;121258,62;105353,43;979237,56
"0204060079 RADIOGRAFIA DE ARTICULACAO SACRO-ILIACA";16728,81;6114,99;5299,14;7933,17;6254,85;7529,13;7373,73;7373,73;9829,05;74436,60
"0204060087 RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA";303069,00;309725,00;294541,00;330941,00;368108,00;267943,00;321067,50;412191,00;469683,50;3077269,00
"0204060095 RADIOGRAFIA DE BACIA";347148,06;329549,01;322618,17;338554,44;353441,76;289044,00;363705,93;390807,69;364762,65;3099631,71
"0204060109 RADIOGRAFIA DE CALCANEO";154563,50;140783,50;141693,50;140218,00;136311,50;118969,50;140699,00;160062,50;168213,50;1301514,50
"0204060117 RADIOGRAFIA DE COXA";182679,96;178165,26;184736,16;187614,84;183395,16;166641,60;201972,48;227880,60;202499,94;1715586,00
"0204060125 RADIOGRAFIA DE JOELHO (AP + LATERAL)";603603,06;612661,14;573825,30;598599,42;705404,76;474118,62;545552,70;695566,98;761922,84;5571254,82
"0204060133 RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + AXIAL)";63029,48;49912,36;47198,72;47134,28;55067,56;56399,32;54265,64;57086,68;60408,92;490502,96
"0204060141 RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + OBLIQUA + 3 AXIAIS)";5657,61;7887,21;8509,64;9977,46;13015,29;6094,24;17093,60;26987,45;28130,12;123352,62
"0204060150 RADIOGRAFIA DE PE / DEDOS DO PE";554726,04;551763,18;546284,94;593277,12;662372,10;516866,52;612640,80;791910,78;862483,80;5692325,28
"0204060168 RADIOGRAFIA DE PERNA";382766,10;369508,08;375184,98;419786,64;415933,50;333640,80;405160,80;443164,74;433268,16;3578413,80
"0204060176 RADIOGRAFIA PANORAMICA DE MEMBROS INFERIORES";9596,57;10367,64;10729,95;12383,57;12262,80;5629,74;12448,60;23540,86;15412,11;112371,84
"0205010016 ECOCARDIOGRAFIA DE ESTRESSE";415305,00;517275,00;603240,00;619245,00;472395,00;128040,00;113025,00;136290,00;76725,00;3081540,00
"0205010024 ECOCARDIOGRAFIA TRANSESOFAGICA";39765,00;49995,00;50655,00;54120,00;69630,00;33495,00;25905,00;20460,00;29370,00;373395,00
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";2006778,48;2259493,88;2259285,98;2483948,48;2325067,16;1201075,68;1488364,10;2431223,60;3186298,44;19641535,80
"0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS";732204,00;847162,80;873259,20;1029996,00;889534,80;498999,60;561884,40;738223,20;795405,60;6966669,60
"0205010059 ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO";53753,70;97297,20;155727,00;161990,40;197211,30;180437,40;212998,50;202273,50;290904,90;1552593,90
"0205020011 ECODOPPLER TRANSCRANIANO";7839,00;7488,00;16146,00;14157,00;13338,00;7137,00;5031,00;14625,00;12753,00;98514,00
"0205020020 PAQUIMETRIA ULTRASSONICA";76863,90;95761,46;92147,82;113577,89;108764,64;43067,48;63697,81;79914,76;71591,54;745387,30
"0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR";118096,00;140795,60;106213,80;130607,40;148055,60;114248,20;154724,60;166738,00;155820,40;1235299,60
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";3065551,75;3439598,25;3463392,90;3541456,05;3477434,40;2195667,95;2733702,45;3794028,80;3839367,30;29550199,85
"0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO";441180,00;528044,00;509385,80;566788,20;619520,00;427138,40;547032,00;673527,40;706413,00;5019028,80
"0205020062 ULTRASSONOGRAFIA DE ARTICULACAO";415852,80;404188,40;377108,60;530730,20;560230,00;415925,40;527342,20;780232,20;993579,40;5005189,20
"0205020070 ULTRASSONOGRAFIA DE BOLSA ESCROTAL";34364,00;45496,00;53941,80;59459,40;67977,80;48061,20;62218,20;82926,60;84866,80;539311,80
"0205020089 ULTRASSONOGRAFIA DE GLOBO OCULAR / ORBITA (MONOCULAR)";30951,00;116894,80;92710,20;105947,60;135568,40;97090,40;104665,00;75963,80;111029,60;870820,80
"0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL";995273,40;954690,00;862076,60;976131,20;1097131,20;652403,40;873749,00;1140640,00;1131378,20;8683473,00
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";187380,60;227238,00;205070,80;213177,80;228302,80;167633,40;210612,60;283701,60;345985,60;2069103,20
"0205020119 ULTRASSONOGRAFIA DE PROSTATA (VIA TRANSRETAL)";15294,40;22070,40;22070,40;25918,20;35235,20;21901,00;32282,80;38720,00;37195,40;250687,80
"0205020127 ULTRASSONOGRAFIA DE TIREOIDE";339622,80;362830,60;382335,80;420475,00;442932,60;290763,00;406390,60;567311,60;626841,00;3839503,00
"0205020135 ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA)";12100,00;12898,60;12124,20;15754,20;15996,20;9002,40;9050,80;15875,20;13285,80;116087,40
"0205020143 ULTRASSONOGRAFIA OBSTETRICA";1725601,20;1714715,20;1694556,60;1991732,60;2163697,80;1612123,80;1950379,00;1979118,20;2118608,80;16950533,20
"0205020151 ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO";115196,40;139114,80;166914,00;157726,80;206830,80;165528,00;194158,80;257835,60;292564,80;1695870,00
