 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Valor aprovado por Município e Ano atendimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Município";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"354160 PROMISSAO";-;2546484,08;2997174,02;3536839,03;3498745,69;3459117,41;3460874,06;3211623,51;3410555,63;3813253,37;4234891,10;4436399,56;1486091,46;40092048,92
"354340 RIBEIRAO PRETO";14588,09;16826365,85;17671586,26;19513722,85;20944095,09;21174460,07;21293329,36;21181267,73;23183063,19;25399179,78;28391696,35;28559615,18;9714594,21;253867564,01
"354390 RIO CLARO";-;2718308,59;2558402,35;2798865,72;3003803,34;3230256,36;3247017,37;3021434,33;3340118,19;3582864,07;3759215,28;3908605,42;1306962,89;36475853,91
"354580 SANTA BARBARA D'OESTE";-;3633332,90;3656807,34;3651546,61;3471509,58;3445677,38;3190830,17;2996310,13;3442902,98;3871258,06;4277658,82;4466706,14;1470049,16;41574589,27
"354730 SANTANA DE PARNAIBA";-;4004693,57;4424872,57;5039489,21;4989873,23;5567479,12;5616271,38;5437963,63;6582431,67;6499159,19;6161085,07;6698876,72;2273437,52;63295632,88
"354780 SANTO ANDRE";8951,50;6817894,57;6483946,91;7331112,77;8019204,29;8094276,76;8096396,84;8295488,36;9372717,99;10914729,98;11959459,07;11653707,90;3873176,45;100921063,39
"354850 SANTOS";3716,12;7004381,67;6830975,04;7851428,40;7810920,80;8137045,42;8318625,47;7815130,05;7976765,83;9848668,00;10938150,27;11879946,86;4458664,28;98874418,21
"354870 SAO BERNARDO DO CAMPO";-;8355968,44;9221522,33;9657555,22;10353362,69;10547436,80;10410846,04;10408925,26;11275630,78;11763092,82;14481058,91;15423415,47;5068779,64;126967594,40
"354880 SAO CAETANO DO SUL";7836,85;5836372,13;6063773,10;6167686,31;6693729,21;7026499,75;7719044,15;7584065,58;7111473,68;7366239,51;7967863,98;7758076,30;2623378,45;79926039,00
"354890 SAO CARLOS";-;3710782,17;3992164,60;4160355,34;4325861,00;4706254,43;5208310,06;5231983,53;6222978,06;6357694,46;6703955,63;6587687,26;2170100,97;59378127,51
"354910 SAO JOAO DA BOA VISTA";-;6380336,78;6617649,32;7447603,66;7791890,21;7723404,94;8265197,33;7916666,35;8453743,58;9117932,66;9878823,95;10051009,47;3504066,76;93148325,01
"354940 SAO JOAQUIM DA BARRA";-;-;-;548987,16;2243277,20;2875174,46;2713757,29;2464203,43;2627593,49;2739533,64;3022757,20;3610240,84;1268712,23;24114236,94
"354970 SAO JOSE DO RIO PARDO";-;1622372,94;2004477,86;2068624,62;2556539,46;2853001,10;3005762,68;3140945,05;3955490,58;4668834,35;5703990,73;6183073,75;2143028,56;39906141,68
"354980 SAO JOSE DO RIO PRETO";-;12502792,58;13509532,44;14821623,60;14697653,64;15098960,73;15727031,58;14631770,33;16203451,70;19094869,82;21307158,74;22269247,42;7614566,81;187478659,39
"354990 SAO JOSE DOS CAMPOS";-;7742387,65;8659624,56;10118822,78;10163529,43;10256210,44;10414503,04;8984695,13;11298628,75;12842625,34;14461923,04;15405360,39;5201115,60;125549426,15
"355030 SAO PAULO";349363,52;180867255,49;187215012,36;203429366,31;203984564,94;207921445,09;208572716,94;202862718,33;229477261,53;243790094,99;270324227,80;275369317,74;92339861,90;2506503206,94
"355060 SAO ROQUE";-;2841895,04;2886002,83;3150995,64;4424216,35;1203678,56;-;-;-;-;-;-;-;14506788,42
"355070 SAO SEBASTIAO";-;3339642,73;2688910,25;-;-;-;-;-;-;-;-;-;-;6028552,98
"355100 SAO VICENTE";-;3581966,82;3276497,21;3475457,02;3048536,13;3049828,77;2769872,27;3051493,87;3948483,20;3645356,60;3682308,58;4218331,45;1310911,13;39059043,05
"355150 SERRANA";-;-;-;-;-;-;2800,00;5000,00;600,00;-;-;-;-;8400,00
"355170 SERTAOZINHO";-;4535378,84;4597277,22;5552860,44;5613013,13;6280478,10;5981456,75;5978200,68;6778236,63;5898968,61;8049076,40;8105883,01;2824373,48;70195203,29
"355220 SOROCABA";537,09;10798919,49;10212831,42;10848841,78;10858933,83;10591880,26;10204643,09;10163280,26;20465061,51;24304787,23;28338831,00;29240586,19;10076060,43;186105193,58
"355240 SUMARE";5728,96;8008298,63;8780859,85;10276319,80;12792079,11;12730991,61;12711849,37;11791481,31;12677785,00;15824564,79;16306299,06;15434437,17;5187205,68;142527900,34
"355250 SUZANO";-;5585186,68;5419471,11;5394281,10;5440516,78;5935576,18;7175562,11;7427012,68;11527341,26;12555959,88;13143625,43;13050470,78;4665122,70;97320126,69
"355280 TABOAO DA SERRA";-;9129196,14;9878973,09;10732830,70;10613798,72;10683997,29;12539904,62;12130230,19;13248251,42;16095682,79;17038747,02;16754809,96;5650575,39;144496997,33
"355410 TAUBATE";1253,21;9944327,39;10968947,95;12750147,29;13089467,33;12817500,71;13769544,15;13765296,61;15426996,52;15378574,11;16174467,42;16718144,48;5947135,15;156751802,32
"355500 TUPA";2506,42;2404657,30;2469652,52;2752300,78;3021863,41;3059658,45;3312044,32;3617921,12;4100614,38;4180232,73;4638653,54;4693995,23;1552544,19;39806644,39
"355710 VOTUPORANGA";-;4538116,21;4825063,74;5661307,79;5783506,79;6319689,34;7035429,52;7002301,77;8365786,38;9428165,25;9831753,16;9997469,00;3388349,66;82176938,61
"410140 APUCARANA";-;3042730,17;3222123,01;3922568,21;4319296,44;4533142,96;4362740,79;4359824,62;5046392,34;4973824,07;5579882,10;6068397,41;2093227,85;51524149,97
"410150 ARAPONGAS";-;2001280,72;1980890,53;2125592,59;2356415,40;2350972,32;2360536,48;2371649,76;2977526,14;3475260,15;3515379,97;4367421,03;1568082,85;31451007,94
"410180 ARAUCARIA";-;-;-;-;-;-;-;-;2324369,23;3378087,94;4511365,17;5002255,62;1667399,53;16883477,49
"410400 CAMPINA GRANDE DO SUL";-;3632076,90;3800620,13;4782111,40;4619680,63;5111476,16;5003536,30;4947791,19;5782821,51;6310545,89;6381097,32;7513441,97;2553534,20;60438733,60
"410420 CAMPO LARGO";1611,27;2392964,87;2788866,41;3291900,39;3382698,33;4098596,54;4321815,56;3252986,46;3684990,47;4224249,51;4639584,58;6182063,80;2328389,59;44590717,78
"410430 CAMPO MOURAO";-;3497645,26;3560843,79;3774288,98;4395302,23;4757254,51;5371466,55;5819313,84;6621014,65;7061342,67;7195163,50;7515968,96;2776488,07;62346093,01
"410480 CASCAVEL";-;4614388,95;4663566,32;5015884,47;5446146,11;5831830,08;5709231,60;5600158,47;6586328,88;6716007,03;4841528,53;77305,22;49653,98;55152029,64
"410490 CASTRO";-;1238825,47;1527087,62;2121879,42;2387678,47;2478496,69;2601373,40;2570295,56;2885937,84;1367310,37;1015200,23;3366109,88;1346937,68;24907132,63
"410550 CIANORTE";-;2171699,51;2226966,15;2296765,23;2059984,18;2071426,79;2166856,15;2514279,99;2775849,74;3166522,39;3330140,09;3357087,13;864978,36;29002555,71
"410580 COLOMBO";-;-;-;-;1795347,20;2595196,28;3363198,57;3311576,13;4134276,78;5159726,17;5560666,42;6204951,58;2093687,34;34218626,47
"410590 COLORADO";-;-;-;-;-;-;-;1251898,92;1995356,45;2015915,08;2393586,42;2486782,51;872086,54;11015625,92
"410640 CORNELIO PROCOPIO";537,09;7166360,06;7257842,65;7651662,98;7756694,37;8094650,90;8354414,90;7896248,72;8322818,50;8666976,93;9400786,80;10990998,56;3901317,42;95461309,88
"410690 CURITIBA";40645,16;21031176,40;20584978,81;22498926,59;22968124,94;23166803,20;24622802,08;23454482,35;26358969,05;30213580,03;34276864,55;35722675,04;11999446,41;296939474,61
"410830 FOZ DO IGUACU";-;6045764,13;6809948,09;7627988,31;8126881,82;8861445,48;9398034,98;9294328,23;11269433,30;12121649,44;12290144,43;12658096,70;4377809,61;108881524,52
"410840 FRANCISCO BELTRAO";-;2475149,53;2420777,53;2827391,19;2827575,49;2846377,97;3054471,10;2985777,65;3542839,53;3933844,71;4507312,19;5246289,62;1332768,67;38000575,18
"410940 GUARAPUAVA";-;4640336,47;4621080,79;4867529,46;4878825,69;5061751,28;5280036,12;5421351,53;6070832,05;6535371,10;7309938,42;9254329,01;3195269,46;67136651,38
"411070 IRATI";24735,27;2136332,05;2066112,63;2280090,88;2463132,16;2424795,38;2487961,07;2618811,29;2921122,40;3216823,54;3712529,06;4519915,67;1465486,01;32337847,41
"411150 IVAIPORA";-;3194143,06;3471841,34;3648846,85;3646400,35;3684205,60;3970011,79;4080507,52;4508455,80;4749982,11;4987215,34;5523078,09;1761769,16;47226457,01
"411370 LONDRINA";-;11510677,85;10990867,43;12506611,01;12879997,29;14451697,22;16127329,45;16992235,96;18378357,87;19843786,82;21838568,20;22571723,04;7968402,14;186060254,28
"411520 MARINGA";3043,51;9430768,89;10192524,42;11030027,74;11548983,26;12327009,03;11997989,62;10977649,09;12531616,51;13967652,79;15270567,89;15921537,87;5384426,07;140583796,69
"411580 MEDIANEIRA";-;-;-;-;-;-;-;-;-;-;-;-;1718,40;1718,40
"411820 PARANAGUA";682,34;2223751,50;2663887,13;3049317,59;3085109,39;3190569,35;3120886,89;3052316,06;4235699,01;4942991,98;5189829,22;6007188,49;2244950,89;43007179,84
"411840 PARANAVAI";-;5361311,59;5398972,42;5883974,99;5818883,62;6001139,34;6039211,59;6338218,77;7205228,87;7451391,45;8114766,93;9095222,88;2950607,91;75658930,36
"411850 PATO BRANCO";-;1981940,23;2041924,23;1833465,04;2233937,40;2376660,15;2358114,47;2598016,95;3365215,79;3803195,64;4432625,45;4503808,08;1119719,01;32648622,44
"411990 PONTA GROSSA";22915,84;4430744,91;4229329,18;5024169,78;5089595,79;5073853,00;4953161,90;4565385,82;5478700,54;6847462,13;8105608,05;8601278,90;3089492,03;65511697,87
"412240 ROLANDIA";-;-;-;820019,00;3265213,06;2996000,43;3075002,61;3770974,74;6075426,86;7662244,08;8848288,46;10866684,97;3725247,45;51105101,66
"412410 SANTO ANTONIO DA PLATINA";-;3666795,49;3943909,41;4499580,01;4759929,40;5281693,83;5516925,66;5733120,08;6414717,14;6907738,32;7502877,58;8496388,11;2972025,83;65695700,86
"412550 SAO JOSE DOS PINHAIS";-;2841691,17;3225299,25;3751132,84;4568035,79;5043155,78;5023360,27;4545297,30;5482018,26;5863332,30;6062887,21;6774229,57;2211876,43;55392316,17
"412710 TELEMACO BORBA";1969,33;2236360,60;2005047,21;2042508,62;1985006,15;1960152,51;1860663,12;1599305,37;1430432,04;2557119,51;2750568,07;2714768,33;966083,80;24109984,66
"412770 TOLEDO";-;2839370,75;2967002,62;3397825,88;3593485,90;3913045,64;4168759,17;4332429,33;4817099,54;5207748,57;5709892,09;6479377,70;2159225,46;49585262,65
"412810 UMUARAMA";-;3590695,55;3816598,97;4497004,98;4873999,57;5224811,40;5005694,18;5215414,37;5745036,18;5967676,19;6193249,92;6760510,45;2424745,33;59315437,09
"412820 UNIAO DA VITORIA";-;1226244,66;1151916,91;1513515,03;1714416,15;2109630,67;2304318,43;2324285,09;2582136,57;2638948,02;2808796,86;3307461,06;1074083,16;24755752,61
"420140 ARARANGUA";-;1394799,39;1514527,82;1668431,56;1963078,62;1775316,62;1846339,24;1541879,75;1947600,89;2319109,99;2473608,61;2528205,16;944034,67;21916932,32
"420200 BALNEARIO CAMBORIU";-;2756519,91;3265821,90;3774921,40;4355234,09;4913405,80;5340733,72;5589870,31;7108789,50;7654363,77;8681891,60;9530018,96;3050286,37;66021857,33
"420240 BLUMENAU";895,15;3360338,28;3638734,58;3789721,57;3911911,09;3969776,86;4489598,94;4627702,96;5305349,88;6164931,28;7486286,45;7562422,33;2595574,35;56903243,72
"420290 BRUSQUE";-;1969152,24;1950438,10;2314286,73;2572732,17;2735614,05;2863922,03;3054243,45;3578952,96;4390841,70;4759358,13;5254375,73;1746020,45;37189937,74
"420420 CHAPECO";-;4619659,24;4626740,50;5062759,14;4843537,94;4885635,07;5019328,68;4909634,05;5517554,45;5575701,35;6683925,34;6791360,36;2404267,40;60940103,52
"420430 CONCORDIA";-;1161035,93;1292763,29;1480454,46;1514689,82;1472757,51;1561416,21;1445963,04;1719602,26;1810865,03;2008232,10;1964739,73;715700,96;18148220,34
"420460 CRICIUMA";-;4696877,59;5236116,68;6051390,43;6276866,97;6095528,59;5978801,61;5688543,06;6001459,16;6431304,07;7177303,29;7595263,00;2651635,50;69881089,95
"420480 CURITIBANOS";4654,78;1176190,68;1169747,95;1322648,47;1309981,36;1222710,14;1058279,47;1056111,61;1345416,99;1429153,74;1755370,45;2225929,34;869196,11;15945391,09
"420540 FLORIANOPOLIS";31509,28;4222847,82;4716757,92;5479020,06;6030842,88;6606642,33;6734334,10;6921879,16;7691014,67;7870875,50;9567661,91;9352318,12;3525149,70;78750853,45
"420820 ITAJAI";-;3312196,34;3706982,38;4100466,73;4268491,38;5252596,33;5795499,04;6171167,01;8142321,90;9877232,51;11353175,09;12259104,53;4063765,67;78302998,91
"420890 JARAGUA DO SUL";-;2047963,28;2250587,54;2334632,89;2539437,96;2647464,01;2544346,63;2625716,87;2969731,17;3514886,32;4288304,75;4617578,39;1592511,63;33973161,44
"420900 JOACABA";-;1807829,04;1794530,10;2209039,82;2249299,15;2228908,63;186736,93;-;-;-;-;-;-;10476343,67
"420910 JOINVILLE";8238,46;8748507,81;8999132,94;10155454,55;10707503,55;11020179,72;10641336,83;9564319,67;10871879,69;12859432,23;15021344,02;15652775,81;5364493,89;129614599,17
"420930 LAGES";-;2856958,82;3152366,89;3738504,56;3563311,52;4292939,93;4681359,39;4670851,07;5724992,99;6758377,79;7441697,05;7236760,59;2377589,51;56495710,11
"421003 LUZERNA";-;-;-;-;-;-;-;1958365,81;2296463,76;2587974,13;3156722,31;3677557,52;1231029,26;14908112,79
"421010 MAFRA";-;2824970,56;2842517,45;2903461,08;3130024,54;3047949,62;2845296,22;3041483,91;3319338,31;3404576,94;3637827,59;3582243,66;1301419,30;35881109,18
"421480 RIO DO SUL";-;3195585,71;3447144,86;4102225,36;4194888,39;4177419,91;4515355,98;4720446,11;5254109,61;5683205,52;5940091,13;6024954,75;1903830,55;53159257,88
"421580 SAO BENTO DO SUL";-;2295953,30;2548780,84;3151122,78;3429541,43;3586237,75;3573017,74;3418424,05;3826147,51;4281429,90;4267739,82;4224971,77;1414822,72;40018189,61
"421660 SAO JOSE";33120,55;2285172,90;2378263,98;2368956,51;2147741,37;2177394,17;2296524,12;2387710,54;2754112,70;2965552,67;3148467,55;3339463,61;1286824,56;29569305,23
"421720 SAO MIGUEL DO OESTE";-;2754189,95;2809484,98;3170362,76;3250965,30;3186200,35;3386236,89;3444745,89;3859389,41;3965976,94;4331725,78;4300549,33;1362881,55;39822709,13
"421820 TIMBO";-;1637279,35;1593095,52;1835496,53;2031309,10;2356120,89;2586746,19;2620388,80;3172947,29;3692805,10;3880677,11;3485326,63;1235666,44;30127858,95
"421870 TUBARAO";2393,38;3324787,47;3697454,39;4486912,02;5043616,18;5362168,04;5850780,19;5696254,08;6635094,26;7106818,82;8320135,72;8753382,34;3022545,77;67302342,66
"421930 VIDEIRA";-;1736039,40;1616139,27;1895510,85;1964603,79;1853670,87;1782787,90;1745284,16;2216617,32;2608234,12;2775469,41;2568867,55;850038,44;23613263,08
"421950 XANXERE";-;1626813,85;1499586,18;1404686,74;1579536,16;1603662,64;1712295,08;1595869,92;1866883,25;2236693,79;2466298,98;2610244,77;795611,71;20998183,07
"430040 ALEGRETE";-;1361246,19;1487366,96;1599949,84;1551301,63;1696019,07;1848930,35;1889944,48;1861130,99;1971882,06;1910577,38;2367879,02;868001,69;20414229,66
"430060 ALVORADA";-;3030393,11;3358690,40;3963667,23;4230407,70;4139476,94;4075214,45;4107579,88;4610524,58;4828015,61;4969365,60;5028449,56;1809001,61;48150786,67
"430160 BAGE";-;2516782,78;2803335,45;3017716,92;2645169,14;2686612,14;2577600,04;2546520,62;2982829,47;3360119,47;3957855,11;4078954,54;1411944,16;34585439,84
"430210 BENTO GONCALVES";-;1234525,12;1227676,07;1328242,13;1350260,30;1419839,21;1460315,97;1231053,66;1263836,22;1461284,26;1582031,27;1609637,64;554397,77;15723099,62
"430300 CACHOEIRA DO SUL";-;3346247,45;3505324,80;3777709,48;3738519,15;3739032,67;3780160,23;3707622,27;3848984,45;3836959,99;4077689,29;4149935,37;1402135,38;42910320,53
"430310 CACHOEIRINHA";537,09;3844746,20;3881614,93;3894036,26;3739745,54;4427911,48;4573085,46;4596184,21;4650309,56;4383247,15;4644578,94;4751994,54;1570719,27;48958710,63
"430350 CAMAQUA";-;1682462,12;1827231,31;2267026,55;2340855,60;2305653,17;2226334,16;2026823,45;2250479,68;2490457,36;2603107,59;2721345,91;973305,76;25715082,66
"430390 CAMPO BOM";-;2582618,77;2660118,15;2777346,38;2863896,43;3161899,36;3602523,23;3950026,95;4114756,45;4267175,56;5136453,22;5543264,76;1884038,50;42544117,76
"430440 CANELA";-;290946,58;-;-;-;-;-;-;-;-;-;-;-;290946,58
"430460 CANOAS";3822,54;4233115,43;4231722,83;4408947,19;4329619,66;3243063,90;2305391,41;2923383,03;3185106,71;4856001,02;6458315,19;6350027,71;1953938,73;48482455,35
"430470 CARAZINHO";-;1372666,49;1412603,20;1736360,01;1818154,29;1796837,87;1908656,81;2009652,82;2473641,38;2390750,27;2234726,57;1983338,33;197080,24;21334468,28
"430510 CAXIAS DO SUL";19106,08;4777898,99;4970871,11;5136853,85;5066415,13;5498458,81;5749831,14;5784528,53;6529403,09;6634475,04;7023166,12;6819676,81;2242757,98;66253442,68
"430610 CRUZ ALTA";895,15;2189390,81;2207713,57;2547313,69;2514619,87;2625548,47;2749466,43;2736627,95;2853788,20;3010548,50;3534303,50;3111106,69;986965,96;31068288,79
"430700 ERECHIM";652,90;1528370,40;1696707,79;1880352,82;1983856,85;1934297,30;1963702,18;2038758,38;2210708,36;2933573,25;3421924,56;3464938,14;1208912,10;26266755,03
"430770 ESTEIO";7287,02;2735001,95;2784738,66;2635220,68;2658194,88;2685644,39;2242965,64;955791,16;1099545,50;1270944,38;2449707,87;2954308,50;1141138,47;25620489,10
"430780 ESTRELA";-;403102,13;-;-;-;-;-;-;320446,63;2323303,40;2469200,99;2587156,74;824188,97;8927398,86
"430850 FREDERICO WESTPHALEN";-;2113737,34;1619228,75;2245259,69;2341598,04;2467656,45;2644241,82;2770572,65;3062015,13;3200404,24;3557205,88;3588910,83;1322483,32;30933314,14
"430920 GRAVATAI";-;3677685,28;3888340,27;4097828,35;4081466,77;4211867,95;4317188,80;4189040,15;4978710,45;5063834,51;5489627,15;5592557,95;1935953,02;51524100,65
"430930 GUAIBA";-;2040278,57;1677728,31;1347836,52;1962795,09;2510590,15;2580550,71;3294625,89;4075430,69;3570762,95;4213989,45;4404062,22;1467167,95;33145818,50
"431020 IJUI";-;2444357,55;2378297,67;2456887,21;2603697,82;2774850,20;3292928,81;3803688,14;4360177,95;4730100,05;4830017,26;4870868,26;1656595,60;40202466,52
"431060 ITAQUI";-;490712,06;556364,79;551514,51;607985,56;696578,78;611851,86;686932,25;758974,38;726246,59;668710,47;647218,43;249898,82;7252988,50
"431140 LAJEADO";-;2168108,43;2552317,92;2918103,95;3140261,65;3291149,75;3576497,02;3696923,79;4294876,09;3046287,35;3583319,07;3625558,97;1237917,85;37131321,84
"431240 MONTENEGRO";538,63;2391279,85;2413195,81;2880439,00;2942560,27;3035037,65;3228730,34;2997369,83;3401685,52;3950523,09;4189346,83;4302483,91;1439218,23;37172408,96
"431330 NOVA PRATA";-;947155,28;921688,69;902743,37;1085425,22;1117131,92;1041038,55;1223790,86;1455971,74;1719012,68;1808268,83;1712542,89;480646,33;14415416,36
"431340 NOVO HAMBURGO";-;3391904,92;3704560,61;3976930,38;3884200,80;3717478,45;3763738,85;3471954,47;3738292,96;4313457,99;4575843,35;4732959,33;1519314,91;44790637,02
"431350 OSORIO";11640,03;4287405,96;4369962,66;4501664,24;4436008,73;4560642,56;4632262,95;4722752,11;5614546,43;5699993,47;5971887,45;5956393,74;1965318,96;56730479,29
"431410 PASSO FUNDO";4833,81;5177313,61;5383383,34;5561597,84;6105710,14;6755859,87;6874696,17;7295996,72;8607589,56;9877365,26;10255673,40;10431083,26;3745068,17;86076171,15
"431440 PELOTAS";17186,88;7930042,59;8322724,55;8889572,71;8459791,17;8277256,96;8483220,69;8645284,90;9659607,97;10745594,34;11360418,84;11785434,42;4022337,02;106598473,04
"431490 PORTO ALEGRE";27230,42;28405897,60;28788970,86;30444671,92;29860570,42;29722614,81;28548913,91;27161743,23;30963469,66;33767391,51;35157688,45;36282442,15;9196048,33;348327653,27
"431560 RIO GRANDE";-;4331997,50;4281980,93;4206756,08;4097537,14;4603155,13;4857605,24;4956261,21;5686630,16;5685310,28;5911281,02;5573911,50;1819917,15;56012343,34
"431640 ROSARIO DO SUL";-;1134646,99;1015950,83;1231888,84;1228120,95;1395215,11;1337579,03;1118544,19;1429014,91;1700470,92;1725877,53;1575860,20;573451,05;15466620,55
"431680 SANTA CRUZ DO SUL";-;2696725,94;2486656,63;2968587,57;3182875,44;3428657,26;3618998,85;3699297,84;4319351,99;4556546,63;4806498,80;4874209,81;1576272,85;42214679,61
"431690 SANTA MARIA";-;5885459,14;6261152,78;6891806,83;7101292,98;7150596,86;7431023,84;7466284,83;8941716,07;9963045,68;10072268,35;9577801,48;3250080,04;89992528,88
"431710 SANT'ANA DO LIVRAMENTO";-;1414056,11;1449476,16;1509958,64;1533660,52;1626556,59;1599380,37;1692726,22;1842062,80;2335680,84;2889524,92;2957643,92;1007240,80;21857967,89
"431720 SANTA ROSA";600,00;1926416,32;1908704,82;2112025,43;2486119,44;2394216,22;2579447,86;2974665,21;3296737,85;3821606,15;4304520,71;4185944,73;1295884,65;33286889,39
"431740 SANTIAGO";-;598694,80;798110,29;836691,75;832175,60;868287,08;886038,45;921150,61;1311307,89;1427397,46;1659042,73;1511095,10;517619,12;12167610,88
"431750 SANTO ANGELO";-;4388078,30;4190508,01;4304433,40;4707231,77;5310161,84;5044737,32;4617967,57;4919139,97;5305091,15;5690700,50;5494847,39;1735923,13;55708820,35
"431800 SAO BORJA";-;1259241,49;1337717,69;1447112,01;1559626,79;1664396,29;1760105,87;1649084,41;1744966,31;1670475,73;1702670,47;1742350,45;567966,29;18105713,80
"431830 SAO GABRIEL";-;1172183,39;1133117,05;1225254,10;1124503,05;1171080,88;1153652,77;1108714,87;1027166,77;1368046,68;1607192,26;1370652,20;389087,56;13850651,58
"431870 SAO LEOPOLDO";-;3052022,94;3014499,19;3187725,76;3237624,29;3318741,87;3227615,64;3285487,33;3834110,86;4082004,87;4409762,84;4185668,86;1379369,79;40214634,24
"431880 SAO LOURENCO DO SUL";2148,36;748597,04;807612,29;792851,64;856396,57;805603,53;862841,69;941068,21;878711,23;817727,95;896143,40;967713,15;362489,76;9739904,82
"432000 SAPUCAIA DO SUL";-;-;-;-;42717,79;1028745,70;1554244,39;1866080,67;1690442,62;1282873,67;-;-;-;7465104,84
"432080 SOLEDADE";-;1118621,94;1145498,46;1269510,53;1291751,70;1181502,63;1183075,01;1222266,82;1489154,87;1459409,82;1613601,35;1679773,32;608034,42;15262200,87
"432120 TAQUARA";35917,80;2767927,19;3138511,08;3420535,17;3413655,72;3407722,59;3451512,14;3297952,56;3382601,42;3421371,78;3698367,53;3702985,01;1264384,68;38403444,67
"432150 TORRES";-;1409379,98;1645855,73;1826302,87;2147082,48;2851632,76;3507644,27;3845005,87;4143672,90;3951011,66;4225372,68;4121297,83;1420869,29;35095128,32
"432190 TRES PASSOS";-;-;-;-;-;-;-;-;-;-;-;1342,00;915,00;2257,00
"432240 URUGUAIANA";-;1136171,66;1271773,56;1399481,82;1103977,97;1268712,13;1475265,69;1466643,75;1814733,32;1672004,69;2022412,15;2043287,92;708332,87;17382797,53
"432250 VACARIA";-;2168763,58;2353162,36;2602437,97;2421584,79;2507568,07;2693968,57;2554444,45;2831203,16;3100700,69;3410775,90;3435410,15;1087301,65;31167321,34
"432260 VENANCIO AIRES";-;1723481,17;1723405,03;1938964,81;2104546,96;2227681,78;2517472,75;2411642,47;2550659,08;2273546,58;2526823,87;2579925,94;818899,66;25397050,10
"432300 VIAMAO";-;1946260,41;2035323,01;2297902,58;2569556,43;2566487,59;2461451,13;2522343,13;2698824,99;3055118,34;3281054,33;3296742,06;666703,17;29397767,17
"500110 AQUIDAUANA";-;2053193,88;2339188,17;2723926,24;2773524,38;2881582,23;2902681,77;2928384,67;3415828,85;3556797,00;3775086,28;3773872,84;1218922,38;34342988,69
"500190 BATAGUASSU";-;-;-;-;-;-;-;-;-;-;582220,75;822489,27;355149,70;1759859,72
"500270 CAMPO GRANDE";16506,45;20995008,69;20823070,61;22817024,11;23396404,21;24325725,41;26239998,22;25721143,83;29410167,26;34492141,87;38664673,15;39471862,03;9732334,56;316106060,40
"500320 CORUMBA";-;1934081,62;2031296,45;2451625,94;2974853,25;3278692,41;3598465,94;3797295,48;4312785,01;4307257,39;4648529,04;5024416,75;1802286,14;40161585,42
"500325 COSTA RICA";-;-;-;-;-;-;-;-;136704,30;961604,51;1289171,04;1651820,70;616647,39;4655947,94
"500330 COXIM";-;-;-;1227824,28;1472118,16;1568633,45;1672246,18;1714967,23;2009057,27;2461195,80;2677213,10;2637401,51;865477,84;18306134,82
