 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Valor aprovado por Município e Ano atendimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Município";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"350760 BRAGANCA PAULISTA";16440,06;9449903,51;8617865,76;8799013,98;8906350,36;8975137,92;9498940,46;8706623,56;9641926,05;8977780,10;8881236,29;8802162,51;2909363,64;102182744,20
"350950 CAMPINAS";101207,23;19766798,82;22027434,93;24618243,83;25688034,71;24806023,73;24535394,62;24349882,87;25783332,70;29524484,99;31655160,86;32168756,33;10795859,31;295820614,93
"350960 CAMPO LIMPO PAULISTA";-;-;-;-;1183495,97;3354654,17;4236905,05;4804698,74;5809107,46;6666714,69;7270646,34;7567180,08;2512861,07;43406263,57
"351050 CARAGUATATUBA";-;-;-;1284943,15;5284100,61;5350485,11;5781866,04;6121572,20;7231580,13;7811479,64;8947215,86;8494996,76;2350736,71;58658976,21
"351060 CARAPICUIBA";4654,78;5517252,04;4103425,26;3559041,47;3523148,79;3634289,91;3730191,75;3510988,67;4079776,42;4195287,83;4514171,37;4257610,50;1433844,02;46063682,81
"351110 CATANDUVA";-;2027052,52;2157078,47;2433819,30;2501196,01;2895337,96;2994440,22;2778124,23;3177293,62;3349354,17;3507789,59;3489747,63;1168124,02;32479357,74
"351340 CRUZEIRO";-;1638297,58;1591681,33;1654812,58;1827927,99;1956408,06;2023507,85;1838541,90;2044574,09;841826,86;2027352,90;3481044,52;1189769,71;22115745,37
"351350 CUBATAO";-;-;-;-;-;-;-;-;-;110846,20;2114998,95;2620406,81;939303,10;5785555,06
"351380 DIADEMA";-;7776207,28;8477949,74;9604873,27;10272856,30;10642210,32;10455083,62;9711254,97;11251237,65;12010794,91;12054058,98;12853737,53;4304968,60;119415233,17
"351440 DRACENA";-;2506152,63;2514056,49;2724432,17;2887080,08;2957244,58;2885542,50;2882168,90;3242028,67;3487890,38;4171433,22;4420080,84;1490009,41;36168119,87
"351500 EMBU DAS ARTES";-;-;-;-;-;-;-;1657430,13;4832992,55;6433364,84;7365659,50;8353523,96;2888904,85;31531875,83
"351550 FERNANDOPOLIS";-;4941896,22;5287721,16;5976041,83;6050542,01;6014940,42;6134685,52;6770836,73;7825611,22;8253002,81;8653864,37;8522310,03;2958114,98;77389567,30
"351620 FRANCA";-;7742282,95;8058697,59;8886918,56;9216967,97;10054665,70;10874133,09;11237942,67;12106101,54;14236465,79;16496604,10;17169252,61;5029078,03;131109110,60
"351630 FRANCISCO MORATO";-;-;-;-;-;-;-;3406383,36;4709892,12;6247130,66;7274701,80;6785425,75;2167462,92;30590996,61
"351640 FRANCO DA ROCHA";-;4899130,50;4958847,22;5508893,53;5549534,89;5662974,23;5689627,57;5947130,89;6947732,06;8251398,26;8942747,54;8672793,23;3220217,75;74251027,67
