cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
210820,PEDREIRAS,21,3274346.84,3342307.87,3193622.74,3671384.93,3710366.9,3519383.08,3456596.63,3851635.16,3808413.14,3995076.37,3896341.1,1320827.51
210860,PINHEIRO,21,0.0,0.0,0.0,0.0,0.0,20715.2,3611327.97,6087988.02,7164498.34,7789070.22,9088419.17,3396907.03
210910,PRESIDENTE DUTRA,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440.0,1735018.19,3313221.5,4454824.8,1478360.91
210990,SANTA INES,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7686.0,9272.0,9638.0,594387.92
211130,SAO LUIS,21,21472726.71,24882643.03,30311300.82,31227484.67,31736685.65,30527594.6,30689735.32,42631646.15,45910767.52,50408828.48,51743748.8,17438620.94
211220,TIMON,21,3034871.04,3081704.3,3359628.25,3144489.4,3176468.68,3424757.29,3228416.42,3599385.26,3877232.13,4095536.03,4374826.61,1490818.66
220190,BOM JESUS,22,636282.36,968929.34,1111552.84,1327426.44,1543736.27,1452310.98,1515804.59,1934137.21,2382292.59,2663285.72,3017722.4,1021462.28
220220,CAMPO MAIOR,22,5963792.9,6047017.39,6677948.32,6927784.73,7764955.3,8260471.17,8277645.09,9434422.03,10459432.31,10624743.93,8395464.91,2663951.42
220390,FLORIANO,22,6880534.7,7380683.38,8486445.33,9260471.73,9808293.86,10011599.45,10099620.81,11447325.42,11126721.62,12548854.3,13268454.21,4733734.45
220770,PARNAIBA,22,3972940.16,4588241.2,5442162.18,5971864.95,6618701.37,6971575.7,6594183.39,7275434.2,8209822.66,9179700.15,9439534.56,3218065.79
220800,PICOS,22,7544927.59,8713856.7,10763070.38,11443168.55,12294719.45,12642896.5,12797975.52,15255970.97,16869224.26,17970709.37,18055129.91,6027991.67
220840,PIRIPIRI,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017941.88,5219730.89,1758819.26
221060,SAO RAIMUNDO NONATO,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878542.86,2535256.81,2673479.33,868451.2
221100,TERESINA,22,22018676.09,23687739.97,26359320.4,27410497.12,29209941.7,29723850.7,28584731.39,33412437.06,35800289.73,39949940.33,40351229.68,13730283.87
230190,BARBALHA,23,5409155.91,5750463.64,6433358.43,6337454.49,6560921.07,7007292.21,7420080.54,8952330.12,9911156.99,10643472.41,11305682.63,3965292.89
230210,BATURITE,23,2567010.41,2705567.8,3292992.16,3981717.26,4418435.77,4619385.69,4470401.05,4813122.66,5405353.02,6150631.27,6209648.62,2266518.6
230280,CANINDE,23,5402398.82,5301144.71,3829687.97,4074111.67,4124732.58,4316056.63,4548432.1,5565345.36,6578735.25,7387200.87,7391968.65,1831697.73
230350,CASCAVEL,23,5679112.78,6096234.22,6732542.94,7143449.13,8097995.77,8379494.22,7854567.42,9504876.28,11617203.61,13418790.0,14524578.95,4944105.07
230370,CAUCAIA,23,7241386.19,8303700.27,9606624.42,10359733.67,11560503.33,11654130.83,11624093.45,14213015.39,16850188.13,19257690.12,20225503.16,7186281.02
230410,CRATEUS,23,0.0,431622.36,3649706.24,4705780.88,4937662.6,5242409.8,5880802.52,7708429.19,8894288.84,10035750.01,10375666.74,3334738.82
230420,CRATO,23,6799877.6,7033280.85,7923371.21,7606576.32,7665740.78,8001140.74,8534337.26,10191394.93,11687549.83,12822508.77,12880197.89,4243579.45
230428,EUSEBIO,23,3672046.62,4723282.63,6359123.14,6410659.58,6730282.5,6772680.06,6613118.05,7393917.98,7931260.31,9272095.54,9684842.36,3338932.65
230440,FORTALEZA,23,45155136.62,45719604.15,47693680.03,48218242.14,50198050.69,52356404.72,53702845.04,62105996.55,69152650.56,77913644.42,80490065.7,27421537.48
230523,HORIZONTE,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79096.41
230550,IGUATU,23,3839348.77,3996277.36,4280467.69,4765634.29,4852965.61,4841819.76,4629858.13,5422677.86,6641296.56,7824787.94,8498297.48,3213956.86
230640,ITAPIPOCA,23,2933460.35,2992905.44,3840713.98,4082940.38,4389683.6,5116764.67,5919550.12,7824727.75,9558481.98,10963618.57,12618623.0,3254687.9
230730,JUAZEIRO DO NORTE,23,4125778.43,4278902.42,5352595.17,5574617.13,5811365.01,5942030.76,5747903.66,6233733.24,7115664.73,8493463.76,9033116.32,3085058.6
230765,MARACANAU,23,5808570.75,5905565.03,6347688.54,6410028.69,6399314.98,7152428.51,7475070.88,8923624.05,10389468.93,13703675.75,14466186.35,5084130.84
231130,QUIXADA,23,3011417.25,3121452.05,3285044.69,3387049.38,3614554.24,3712682.26,3612509.32,4349614.6,5395900.05,6002260.44,6117068.85,2227201.44
231180,RUSSAS,23,3507363.37,4046595.35,4316126.63,4542991.1,4863500.0,5003878.91,5254480.16,6473633.57,7523323.64,9181081.75,9962669.09,3515438.95
231290,SOBRAL,23,7663290.29,8684416.58,10050169.31,10387431.15,10531232.96,10290778.1,10204923.43,12057565.3,13306559.67,11637767.48,11686056.84,4326173.44
231330,TAUA,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103765.41
231340,TIANGUA,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990167.48,4858286.17,1957855.39
