modelo,tipo,MAE,RMSE,MAPE_pct,MAPE_desvio_pct,recortes
ridge,aprendizagem,7986589.488548734,9992251.334513279,2.5351040616394305,0.6991410094447881,7
regressao_linear,aprendizagem,11570988.078063358,13290974.068118853,3.8010408009620176,2.434024262007916,7
media_movel_12m,baseline,14457481.639821427,16386373.834884832,4.398061101118896,2.1126653970303497,7
gradient_boosting,aprendizagem,16983339.755881626,19111311.13872065,5.233684903969444,4.748684465571364,7
random_forest,aprendizagem,17776930.895096626,20198336.617052045,5.396788977536928,3.984265374142807,7
tendencia_linear,baseline,21658209.79942036,24013798.438296538,6.439619108563731,2.9642406246502158,7
sazonal_ingenuo_12m,baseline,21547981.4575,23765075.18346592,6.516607219356925,4.141722776495966,7
