cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023
230350,CASCAVEL,23,31257.0,33176.0,34025.0,36171.0,40994.0,42463.0,39702.0,43075.0,50372.0
230370,CAUCAIA,23,39970.0,45667.0,49009.0,52773.0,58815.0,60464.0,59234.0,64514.0,73065.0
230410,CRATEUS,23,0.0,2243.0,17665.0,22874.0,25298.0,26851.0,30050.0,35280.0,38822.0
230420,CRATO,23,37675.0,38593.0,40358.0,38621.0,38852.0,41154.0,43431.0,46552.0,50915.0
230428,EUSEBIO,23,20454.0,25758.0,32285.0,32529.0,34163.0,34344.0,33510.0,33549.0,34277.0
230440,FORTALEZA,23,246594.0,246496.0,239810.0,242206.0,252427.0,265275.0,271362.0,280481.0,298428.0
230523,HORIZONTE,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230550,IGUATU,23,21455.0,22295.0,22035.0,24304.0,24609.0,24711.0,23749.0,24722.0,28829.0
230640,ITAPIPOCA,23,16163.0,16312.0,19557.0,20743.0,22366.0,26319.0,30383.0,35731.0,41524.0
230730,JUAZEIRO DO NORTE,23,22693.0,23509.0,27062.0,28364.0,29601.0,30506.0,29393.0,28340.0,30879.0
230765,MARACANAU,23,32019.0,32295.0,32130.0,32486.0,32518.0,36978.0,38559.0,40539.0,44914.0
231130,QUIXADA,23,16374.0,16636.0,16560.0,16985.0,17994.0,18535.0,17955.0,19593.0,23205.0
231180,RUSSAS,23,19346.0,22137.0,21938.0,23129.0,24610.0,25372.0,26865.0,29311.0,32289.0
231290,SOBRAL,23,42750.0,48457.0,51567.0,53267.0,53845.0,52812.0,52372.0,55327.0,58160.0
231330,TAUA,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231340,TIANGUA,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240020,ASSU,24,10430.0,11889.0,13183.0,14299.0,14664.0,16696.0,19065.0,19514.0,13500.0
240200,CAICO,24,24853.0,25222.0,29168.0,30862.0,32079.0,32508.0,35168.0,36327.0,36870.0
240325,PARNAMIRIM,24,22398.0,21647.0,21220.0,23223.0,23225.0,27293.0,32229.0,10944.0,0.0
240800,MOSSORO,24,44520.0,44748.0,45868.0,47673.0,50284.0,51540.0,52425.0,57854.0,64750.0
240810,NATAL,24,136547.0,137271.0,141344.0,135534.0,138688.0,144488.0,147185.0,173123.0,214860.0
240940,PAU DOS FERROS,24,13685.0,14165.0,15369.0,16600.0,17350.0,18779.0,21346.0,22988.0,23975.0
241120,SANTA CRUZ,24,0.0,0.0,0.0,11145.0,14102.0,17350.0,18694.0,20038.0,21987.0
