data,ano,mes,mes_nome,grupo_procedimento,valor_aprovado,qtd_aprovada,custo_medio
2022-06-01,2022,6,Junho,"07 Orteses, proteses e materiais especiais",1260871.74,77150.0,16.343120414776408
2022-07-01,2022,7,Julho,03 Procedimentos clinicos,304212394.54,13859220.0,21.950181506607155
2022-07-01,2022,7,Julho,04 Procedimentos cirurgicos,3476179.32,104360.0,33.30949904177846
2022-07-01,2022,7,Julho,"07 Orteses, proteses e materiais especiais",1195025.46,74720.0,15.99338142398287
2022-08-01,2022,8,Agosto,03 Procedimentos clinicos,318347430.62,14468870.0,22.002231730605086
2022-08-01,2022,8,Agosto,04 Procedimentos cirurgicos,3828968.02,112620.0,33.99900568282721
2022-08-01,2022,8,Agosto,"07 Orteses, proteses e materiais especiais",1277320.78,79690.0,16.028620655038274
2022-09-01,2022,9,Setembro,03 Procedimentos clinicos,307007910.21,13943400.0,22.018152689444467
2022-09-01,2022,9,Setembro,04 Procedimentos cirurgicos,3624910.69,105460.0,34.372375213351035
2022-09-01,2022,9,Setembro,"07 Orteses, proteses e materiais especiais",1186805.52,74160.0,16.00331067961165
2022-10-01,2022,10,Outubro,03 Procedimentos clinicos,307685707.83,13971450.0,22.022460648679985
2022-10-01,2022,10,Outubro,04 Procedimentos cirurgicos,3570715.79,103550.0,34.48301100917431
2022-10-01,2022,10,Outubro,"07 Orteses, proteses e materiais especiais",1170640.26,72760.0,16.089063496426608
2022-11-01,2022,11,Novembro,03 Procedimentos clinicos,307685470.14,13995270.0,21.984961357658694
2022-11-01,2022,11,Novembro,04 Procedimentos cirurgicos,3466667.29,103320.0,33.55272251258227
2022-11-01,2022,11,Novembro,"07 Orteses, proteses e materiais especiais",1133098.38,73540.0,15.40791922763122
2022-12-01,2022,12,Dezembro,03 Procedimentos clinicos,320309261.27,14592040.0,21.950958280679053
2022-12-01,2022,12,Dezembro,04 Procedimentos cirurgicos,3427428.23,103580.0,33.089672040934545
2022-12-01,2022,12,Dezembro,"07 Orteses, proteses e materiais especiais",1218438.96,74660.0,16.319836056790784
2023-01-01,2023,1,Janeiro,03 Procedimentos clinicos,313519016.27,14249470.0,22.002152800770833
2023-01-01,2023,1,Janeiro,04 Procedimentos cirurgicos,3526916.08,107240.0,32.888064901156284
2023-01-01,2023,1,Janeiro,"07 Orteses, proteses e materiais especiais",1264616.52,76890.0,16.447087007413188
2023-02-01,2023,2,Fevereiro,03 Procedimentos clinicos,290332926.23,13192310.0,22.007739829491577
2023-02-01,2023,2,Fevereiro,04 Procedimentos cirurgicos,3379804.43,101280.0,33.3708968206951
2023-02-01,2023,2,Fevereiro,"07 Orteses, proteses e materiais especiais",1187238.38,71970.0,16.49629540086147
2023-03-01,2023,3,Março,03 Procedimentos clinicos,327636550.54,14883520.0,22.01337792000817
2023-03-01,2023,3,Março,04 Procedimentos cirurgicos,4087787.27,118440.0,34.513570330969266
2023-03-01,2023,3,Março,"07 Orteses, proteses e materiais especiais",1465737.02,83250.0,17.60645069069069
2023-04-01,2023,4,Abril,03 Procedimentos clinicos,303493202.52,13775370.0,22.031582637707732
2023-04-01,2023,4,Abril,04 Procedimentos cirurgicos,3496497.75,105740.0,33.06693540760356
2023-04-01,2023,4,Abril,"07 Orteses, proteses e materiais especiais",1251503.84,75510.0,16.57401456760694
2023-05-01,2023,5,Maio,03 Procedimentos clinicos,328898524.28,14926660.0,22.034301329299385
2023-05-01,2023,5,Maio,04 Procedimentos cirurgicos,3997877.01,117000.0,34.169888974358976
2023-05-01,2023,5,Maio,"07 Orteses, proteses e materiais especiais",1429411.84,82090.0,17.412740163235473
2023-06-01,2023,6,Junho,03 Procedimentos clinicos,317023368.27,14390940.0,22.029371831860878
2023-06-01,2023,6,Junho,04 Procedimentos cirurgicos,3775474.33,109490.0,34.48236670015527
2023-06-01,2023,6,Junho,"07 Orteses, proteses e materiais especiais",1299876.22,76080.0,17.085649579390115
2023-07-01,2023,7,Julho,03 Procedimentos clinicos,338254008.67,14507210.0,23.31626885321161
2023-07-01,2023,7,Julho,04 Procedimentos cirurgicos,3782786.46,111470.0,33.93546658293711
2023-07-01,2023,7,Julho,"07 Orteses, proteses e materiais especiais",1271114.82,77700.0,16.359264092664095
2023-08-01,2023,8,Agosto,03 Procedimentos clinicos,352326232.32,15114950.0,23.30978483686681
2023-08-01,2023,8,Agosto,04 Procedimentos cirurgicos,3991995.1,117320.0,34.02655216501875
2023-08-01,2023,8,Agosto,"07 Orteses, proteses e materiais especiais",1382095.78,82070.0,16.840450590958937
2023-09-01,2023,9,Setembro,03 Procedimentos clinicos,358154504.28,14667130.0,24.418853878025214
2023-09-01,2023,9,Setembro,04 Procedimentos cirurgicos,3747051.3,110220.0,33.99611050626021
