cod_municipio,municipio,uf_ibge,ano,valor_aprovado,qtd_aprovada,custo_medio
260120,ARCOVERDE,26,2015,8689600.7,47984.0,181.09371248749582
260290,CABO DE SANTO AGOSTINHO,26,2015,7036891.26,38532.0,182.62460448458424
260400,CARPINA,26,2015,11693702.2,64420.0,181.52285315119528
260410,CARUARU,26,2015,9079315.42,50528.0,179.68879472767574
260600,GARANHUNS,26,2015,6971160.68,38660.0,180.31972788411795
260790,JABOATAO DOS GUARARAPES,26,2015,8149112.96,45320.0,179.8127308031774
260960,OLINDA,26,2015,4856551.84,26664.0,182.13890789078908
261000,PALMARES,26,2015,5536487.88,30338.0,182.49350253807106
261070,PAULISTA,26,2015,0.0,0.0,
261110,PETROLINA,26,2015,4958159.29,27488.0,180.37541072467985
261160,RECIFE,26,2015,54130198.56,295893.0,182.93842219991686
261220,SALGUEIRO,26,2015,3261030.65,18198.0,179.1972002417848
261390,SERRA TALHADA,26,2015,0.0,0.0,
261640,VITORIA DE SANTO ANTAO,26,2015,8207227.17,45527.0,180.27164473828716
270030,ARAPIRACA,27,2015,10017806.58,54819.0,182.74332950254475
270430,MACEIO,27,2015,24152057.58,133187.0,181.33945189845855
270630,PALMEIRA DOS INDIOS,27,2015,3818683.76,21425.0,178.234947957993
270800,SANTANA DO IPANEMA,27,2015,0.0,0.0,
270840,SAO JOSE DA TAPERA,27,2015,0.0,0.0,
270860,SAO MIGUEL DOS CAMPOS,27,2015,2529015.3,13968.0,181.05779639175256
280030,ARACAJU,28,2015,18338853.48,101545.0,180.5982912009454
280210,ESTANCIA,28,2015,0.0,0.0,
280290,ITABAIANA,28,2015,2598123.08,14538.0,178.7125519328656
280350,LAGARTO,28,2015,0.0,0.0,
290070,ALAGOINHAS,29,2015,3965651.96,22066.0,179.7177540106952
290320,BARREIRAS,29,2015,2560823.24,14408.0,177.73620488617436
290390,BOM JESUS DA LAPA,29,2015,0.0,0.0,
290460,BRUMADO,29,2015,3395225.38,19005.0,178.649059721126
290570,CAMACARI,29,2015,5728325.51,31772.0,180.29477244114312
291070,EUCLIDES DA CUNHA,29,2015,0.0,0.0,
291072,EUNAPOLIS,29,2015,5790452.89,31858.0,181.75820484650637
291080,FEIRA DE SANTANA,29,2015,16866143.85,92800.0,181.74723976293106
291170,GUANAMBI,29,2015,5142246.39,28339.0,181.45475810720208
291360,ILHEUS,29,2015,4729084.65,25837.0,183.0353620776406
291460,IRECE,29,2015,23400.0,39.0,600.0
291470,ITABERABA,29,2015,0.0,0.0,
291480,ITABUNA,29,2015,6501212.24,35526.0,182.99871192929123
291640,ITAPETINGA,29,2015,0.0,0.0,
291750,JACOBINA,29,2015,3018797.74,16886.0,178.77518299182756
291800,JEQUIE,29,2015,6747619.27,36886.0,182.93171582714308
291840,JUAZEIRO,29,2015,6629538.95,36493.0,181.66604417285507
291920,LAURO DE FREITAS,29,2015,3274821.43,18215.0,179.78706725226462
292400,PAULO AFONSO,29,2015,5809471.16,32405.0,179.27699922851411
292530,PORTO SEGURO,29,2015,0.0,0.0,
292660,RIBEIRA DO POMBAL,29,2015,3345129.37,18677.0,179.10421213256947
292740,SALVADOR,29,2015,45330936.59,248882.0,182.13826869761576
292860,SANTO AMARO,29,2015,0.0,0.0,
292870,SANTO ANTONIO DE JESUS,29,2015,5633170.54,31089.0,181.19497378494
292880,SANTO ESTEVAO,29,2015,0.0,0.0,
292990,SEABRA,29,2015,0.0,0.0,
293010,SENHOR DO BONFIM,29,2015,5367804.81,29777.0,180.266810289821
293050,SERRINHA,29,2015,5099216.77,28142.0,181.19596226281
293135,TEIXEIRA DE FREITAS,29,2015,0.0,0.0,
293290,VALENCA,29,2015,3625752.23,20230.0,179.22650667325755
293330,VITORIA DA CONQUISTA,29,2015,12339973.88,68050.0,181.33686818515798
310160,ALFENAS,31,2015,7168112.68,39948.0,179.4360839090818
310350,ARAGUARI,31,2015,2504281.38,13977.0,179.17159476282464
310400,ARAXA,31,2015,3467988.89,19029.0,182.24756371853488
310560,BARBACENA,31,2015,4275154.14,23445.0,182.34822520793344
310620,BELO HORIZONTE,31,2015,63552224.63,344592.0,184.42745226238566
310670,BETIM,31,2015,5514128.23,30918.0,178.3468604049421
310740,BOM DESPACHO,31,2015,3118689.33,17310.0,180.16691681109185
310860,BRASILIA DE MINAS,31,2015,4147461.98,23026.0,180.12081907409015
311120,CAMPO BELO,31,2015,3430483.35,18710.0,183.35025921966863
311330,CARANGOLA,31,2015,2282238.78,12424.0,183.69597392144235
311340,CARATINGA,31,2015,4763533.58,26086.0,182.60881622326153
311530,CATAGUASES,31,2015,1963748.94,10864.0,180.7574502945508
311830,CONSELHEIRO LAFAIETE,31,2015,4300021.4,23643.0,181.87291798841096
311860,CONTAGEM,31,2015,16720576.18,92118.0,181.5125836427191
312090,CURVELO,31,2015,3673011.84,20181.0,182.0034606808384
312160,DIAMANTINA,31,2015,2405125.55,13182.0,182.45528372022454
312230,DIVINOPOLIS,31,2015,5699554.05,31610.0,180.30857481809554
312510,EXTREMA,31,2015,2651699.36,14644.0,181.07753072930893
312610,FORMIGA,31,2015,4328550.11,24225.0,178.68111909184728
312710,FRUTAL,31,2015,1188880.35,6472.0,183.69597496909768
312770,GOVERNADOR VALADARES,31,2015,10233003.0,56289.0,181.79400948675584
312870,GUAXUPE,31,2015,2989960.43,16439.0,181.88213577468215
313130,IPATINGA,31,2015,8218462.84,45540.0,180.46690469916555
313170,ITABIRA,31,2015,4053636.3,22438.0,180.65943043051965
313240,ITAJUBA,31,2015,4025403.33,22273.0,180.73018138553405
313330,ITAOBIM,31,2015,3431988.01,19047.0,180.1852265448627
313380,ITAUNA,31,2015,3049577.49,16767.0,181.8797334049025
313420,ITUIUTABA,31,2015,3787076.38,20766.0,182.36908311663296
313510,JANAUBA,31,2015,4345998.41,24073.0,180.53414240019939
313520,JANUARIA,31,2015,0.0,0.0,
313620,JOAO MONLEVADE,31,2015,4376811.26,24284.0,180.23436254323835
313630,JOAO PINHEIRO,31,2015,0.0,0.0,
313670,JUIZ DE FORA,31,2015,11101312.17,61104.0,181.67897633542813
313820,LAVRAS,31,2015,3792752.29,20942.0,181.10745344284214
313840,LEOPOLDINA,31,2015,2462536.78,13714.0,179.5637144523844
313940,MANHUACU,31,2015,5552803.8,30674.0,181.02640020864575
314000,MARIANA,31,2015,2641383.61,14675.0,179.99206882453151
314180,MINAS NOVAS,31,2015,0.0,0.0,
314330,MONTES CLAROS,31,2015,8466682.64,46507.0,182.05179091319587
314390,MURIAE,31,2015,3226471.43,18065.0,178.60345585386108
314480,NOVA LIMA,31,2015,2622195.65,14665.0,178.8063859529492
314520,NOVA SERRANA,31,2015,0.0,0.0,
314560,OLIVEIRA,31,2015,0.0,0.0,
314710,PARA DE MINAS,31,2015,1955088.97,10917.0,179.08665109462305
314700,PARACATU,31,2015,1166083.28,6551.0,178.00080598381928
314790,PASSOS,31,2015,7170876.59,39280.0,182.55795799389003
314800,PATOS DE MINAS,31,2015,5381172.6,29625.0,181.6429569620253
314810,PATROCINIO,31,2015,3177971.43,17525.0,181.33931126961485
315120,PIRAPORA,31,2015,1886778.75,10474.0,180.13927343899178
315140,PITANGUI,31,2015,0.0,0.0,
315180,POCOS DE CALDAS,31,2015,2698249.82,15057.0,179.20235239423522
315210,PONTE NOVA,31,2015,4245809.72,23601.0,179.8995686623448
315250,POUSO ALEGRE,31,2015,4713132.12,26206.0,179.8493520567809
315700,SALINAS,31,2015,2209573.76,12193.0,181.21658000492084
316210,SAO GOTARDO,31,2015,0.0,0.0,
316250,SAO JOAO DEL REI,31,2015,4788256.0,26585.0,180.11119052097047
316370,SAO LOURENCO,31,2015,4193413.09,23290.0,180.0520863031344
316470,SAO SEBASTIAO DO PARAISO,31,2015,2751948.78,15134.0,181.83882516188712
316720,SETE LAGOAS,31,2015,5207618.46,28613.0,182.0018334323559
316860,TEOFILO OTONI,31,2015,7040309.38,39044.0,180.31731840999896
316870,TIMOTEO,31,2015,0.0,0.0,
316930,TRES CORACOES,31,2015,3102079.29,17097.0,181.43997718898052
316940,TRES PONTAS,31,2015,0.0,0.0,
316990,UBA,31,2015,4409866.14,24416.0,180.61378358453473
317010,UBERABA,31,2015,4881810.95,27071.0,180.3336023789295
317020,UBERLANDIA,31,2015,12492164.46,68501.0,182.36470212113693
317040,UNAI,31,2015,2533180.91,14118.0,179.42916206261512
317070,VARGINHA,31,2015,4375912.32,23900.0,183.09256569037657
317130,VICOSA,31,2015,2849150.54,15741.0,181.00187662791436
320060,ARACRUZ,32,2015,0.0,0.0,
320090,BARRA DE SAO FRANCISCO,32,2015,0.0,0.0,
320120,CACHOEIRO DE ITAPEMIRIM,32,2015,6317844.3,34921.0,180.91819535523038
320130,CARIACICA,32,2015,8009661.5,44316.0,180.7397215452658
320150,COLATINA,32,2015,9920424.84,54376.0,182.44123951743416
