data,ano,mes,valor_aprovado,qtd_aprovada,custo_medio,media_movel_12m,variacao_mensal_pct
2015-01-01,2015,1,207212109.69,1149659.0,180.237887660602,,
2015-02-01,2015,2,188317031.95,1044135.0,180.35697677982253,,-9.118713075344886
2015-03-01,2015,3,204257883.68,1131974.0,180.44397104527133,,8.464901748362564
2015-04-01,2015,4,204032045.85,1131292.0,180.35312355253996,,-0.11056504940285539
2015-05-01,2015,5,205178805.89,1136836.0,180.48232628980787,,0.5620489836400733
2015-06-01,2015,6,208839292.32,1138359.0,183.45644240525175,,1.784047048193882
2015-07-01,2015,7,217395097.87,1182257.0,183.88142161137557,,4.096837072637727
2015-08-01,2015,8,210948362.65,1146026.0,184.0694387823662,,-2.965446453560361
2015-09-01,2015,9,211703365.62,1150240.0,184.0514724057588,,0.3579089026885196
2015-10-01,2015,10,219744048.5,1193236.0,184.15807811698608,,3.798089301250296
2015-11-01,2015,11,205551922.08,1114948.0,184.36009758302632,,-6.458480453453552
2015-12-01,2015,12,220128327.02,1195786.0,184.08672372815872,208609024.42666665,7.0913493741629585
2016-01-01,2016,1,212364744.94,1152905.0,184.19969116275843,209038410.6975,-3.5268437211602666
2016-02-01,2016,2,206390384.3,1119650.0,184.3347334434868,210544523.39333335,-2.8132544512922464
2016-03-01,2016,3,220865073.35,1198930.0,184.2184892779395,211928455.8658333,7.013257472770729
2016-04-01,2016,4,213929400.35,1160890.0,184.28050922137325,212753235.4075,-3.1402307729340273
2016-05-01,2016,5,214362167.07,1163055.0,184.30957011491287,213518515.50583336,0.20229417709392017
2016-06-01,2016,6,213850353.4,1159988.0,184.35566005855236,213936103.92916667,-0.2387611941956358
2016-07-01,2016,7,214999793.4,1167092.0,184.21837644333092,213736495.22333333,0.5374973581876663
2016-08-01,2016,8,223769271.22,1214237.0,184.28796949854103,214804904.27083334,4.078830812495093
2016-09-01,2016,9,215918411.96,1171283.0,184.3435036280728,215156158.13250002,-3.508461737036883
2016-10-01,2016,10,216146149.66,1172803.0,184.29876940969623,214856333.22916666,0.10547396024855882
2016-11-01,2016,11,216684168.74,1175753.0,184.29395352595316,215784020.45083335,0.24891448718671327
2016-12-01,2016,12,223905859.44,1216045.0,184.1262942078624,216098814.81916666,3.3328187942818
2017-01-01,2017,1,234402249.07,1181786.0,198.34576570546616,217935273.49666667,4.68785839560073
2017-02-01,2017,2,217935175.59,1098089.0,198.4676793866435,218897339.4375,-7.025134590360693
2017-03-01,2017,3,245447993.55,1236487.0,198.5043057872828,220945916.1208333,12.624312658806257
2017-04-01,2017,4,227706906.87,1148302.0,198.29879846068368,222094041.6641667,-7.22804306664091
2017-05-01,2017,5,246593517.75,1242593.0,198.4507539878303,224779987.55416667,8.29426350724729
2017-06-01,2017,6,237943899.22,1198736.0,198.49566478357204,226787783.03916666,-3.507642296894886
2017-07-01,2017,7,238680345.63,1203368.0,198.34360364410557,228761162.39166668,0.3095042202864384
2017-08-01,2017,8,248338234.64,1251208.0,198.47877782111365,230808576.01,4.046369626501023
2017-09-01,2017,9,240687303.14,1212431.0,198.51628928986477,232872650.27499998,-3.0808512072621697
2017-10-01,2017,10,242544603.24,1221641.0,198.53999926328603,235072521.40666667,0.7716651754245962
2017-11-01,2017,11,242464167.21,1221298.0,198.5298978709537,237220854.61249998,-0.033163397134183814
2017-12-01,2017,12,246881179.9,1244380.0,198.396936546714,239135464.65083337,1.8217177164056464
2018-01-01,2018,1,248839060.91,1253974.0,198.44036711287475,240338532.30416667,0.7930458736437718
2018-02-01,2018,2,226144941.67,1138730.0,198.59399653122335,241022679.4775,-9.119998748190106
2018-03-01,2018,3,253815689.19000003,1277101.0,198.74363044896216,241719987.44750002,12.235846318587274
2018-04-01,2018,4,237776822.3,1196298.0,198.76052814599709,242559147.06666663,-6.319099871715861
2018-05-01,2018,5,255333209.03,1285323.0,198.65295262747185,243287454.67333332,7.383556799261659
2018-06-01,2018,6,248269266.18,1249090.0,198.76011030430155,244147901.92,-2.766558598795521
2018-07-01,2018,7,248744356.76,1251840.0,198.70299459994888,244986569.51416668,0.1913610119004927
2018-08-01,2018,8,259579510.99,1305959.0,198.76543673269987,245923342.54333332,4.355939717038204
2018-09-01,2018,9,242542949.53,1220867.0,198.6645142591289,246077979.74250004,-6.5631379745747065
2018-10-01,2018,10,262359818.74,1320592.0,198.66833869961349,247729247.70083332,8.170457747133518
2018-11-01,2018,11,254430046.53,1280204.0,198.74179937728675,248726404.31083333,-3.0224796800376152
2018-12-01,2018,12,258524869.17,1306364.0,197.8965044734852,249696711.75,1.609410011060608
2019-01-01,2019,1,259648914.56,1311472.0,197.98281210731147,250597532.88750002,0.4347919771156894
2019-02-01,2019,2,236973439.29,1196175.0,198.10933959495893,251499907.68916667,-8.733129236617753
2019-03-01,2019,3,256390431.27,1295043.0,197.97831521424385,251714469.52916667,8.193741897056306
2019-04-01,2019,4,257315488.16,1299327.0,198.037513389624,253342691.68416667,0.3608000834578018
2019-05-01,2019,5,267421835.15,1349784.0,198.1219477709026,254350077.19416666,3.927609279281241
2019-06-01,2019,6,248764579.4,1256305.0,198.0128865203912,254391353.29583335,-6.976713677675173
2019-07-01,2019,7,269107913.36,1358175.0,198.13935123235223,256088316.3458333,8.177745404537283
2019-08-01,2019,8,270510341.45,1364799.0,198.2052605914864,256999218.8841667,0.5211396693949544
2019-09-01,2019,9,253515999.82,1279285.0,198.1700714227088,257913639.74166664,-6.282326043028985
2019-10-01,2019,10,273281227.01,1379692.0,198.0740824836268,258823757.0975,7.796441725190362
2019-11-01,2019,11,264600577.06,1335726.0,198.09495140470423,259671301.3083333,-3.1764530791141166
2019-12-01,2019,12,271797224.33,1373179.0,197.9328436642273,260777330.90499997,2.7198154100654515
2020-01-01,2020,1,273733106.88,1382417.0,198.0105184470388,261951013.59833333,0.7122525091167065
2020-02-01,2020,2,258219119.54,1304366.0,197.9652333317489,263721486.9525,-5.667559732480976
2020-03-01,2020,3,269032797.61,1358731.0,198.00298779522956,264775017.48083332,4.187791395642537
2020-04-01,2020,4,268918685.83000004,1361864.0,197.4636864106842,265741950.62,-0.04241556457565965
2020-05-01,2020,5,268068287.64,1365479.0,196.3181327871025,265795821.66083333,-0.3162287467586511
2020-06-01,2020,6,267971902.57,1367524.0,195.9540765427152,267396431.92499998,-0.035955416751654035
2020-07-01,2020,7,277831524.12,1419990.0,195.65738077028712,268123399.4883333,3.679349012131783
2020-08-01,2020,8,267529030.07,1364025.0,196.1320577482084,267874956.87333333,-3.7081803739269725
2020-09-01,2020,9,268235141.86,1364947.0,196.5168917620977,269101552.0433333,0.2639383807489182
2020-10-01,2020,10,277400825.38,1410198.0,196.7105508446332,269444851.90749997,3.417033076442988
2020-11-01,2020,11,259403846.68,1317798.0,196.84644132105225,269011791.0425,-6.487716348841666
2020-12-01,2020,12,278486142.73999995,1418970.0,196.25935907031152,269569200.91,7.356211676976332
2021-01-01,2021,1,268914560.51,1370898.0,196.15942288193577,269167655.37916666,-3.4370048490837024
2021-02-01,2021,2,249058519.02,1268704.0,196.30939842547983,268404272.00250003,-7.38377328930897
2021-03-01,2021,3,279774309.22,1432639.0,195.2859786868848,269299397.96999997,12.332760317077707
2021-04-01,2021,4,266885532.52,1366507.0,195.30491429608483,269129968.5275,-4.606847832430871
2021-05-01,2021,5,265365838.46,1355504.0,195.7691297554268,268904764.4291667,-0.5694179244752129
2021-06-01,2021,6,264753799.99,1351679.0,195.8703212745038,268636589.21416664,-0.2306395101765335
2021-07-01,2021,7,275064844.47,1399536.0,196.54002788781423,268406032.57666668,3.894578465120979
2021-08-01,2021,8,267213582.87,1356987.0,196.9168333005401,268379745.30999997,-2.8543311723924547
2021-09-01,2021,9,267703365.7,1358226.0,197.09780677147987,268335430.63,0.18329263981997634
2021-10-01,2021,10,269694858.86,1367691.0,197.18990536605125,267693266.75333333,0.7439178640106459
2021-11-01,2021,11,270875546.8,1372542.0,197.35319341776065,268649241.7633333,0.43778659518789453
2021-12-01,2021,12,281347114.68,1426496.0,197.22951531585088,268887656.09166664,3.8658225165417504
2022-01-01,2022,1,302837210.44,1391636.0,217.6123716546568,271714543.5858334,7.638285462583294
2022-02-01,2022,2,280312728.99,1284017.0,218.30920384231675,274319061.0833333,-7.437818297584231
2022-03-01,2022,3,314093080.19,1427572.0,220.01908148240508,277178958.6641667,12.050951564602364
2022-04-01,2022,4,304231395.4,1381964.0,220.14422618823644,280291113.90416664,-3.139733223041563
2022-05-01,2022,5,306243852.81,1391288.0,220.11535556261532,283697615.09999996,0.6614890640573412
2022-06-01,2022,6,306868827.71,1398376.0,219.446577823132,287207200.74333334,0.2040775330722333
2022-07-01,2022,7,308883599.32,1403830.0,220.02920533112984,290025430.31416667,0.6565579257545195
2022-08-01,2022,8,323453719.42,1466118.0,220.61915849883843,294712108.36,4.717026132846103
2022-09-01,2022,9,311819626.42,1412302.0,220.78820706902627,298388463.42,-3.59683389044394
2022-10-01,2022,10,312427063.88,1414776.0,220.83147005603715,301949480.50500005,0.19480411383143714
2022-11-01,2022,11,312285235.81,1417213.0,220.3516590731245,305400287.9225,-0.04539557752732959
2022-12-01,2022,12,324955128.46,1477028.0,220.0060719634293,309034289.0708334,4.057153908393074
2023-01-01,2023,1,318310548.87,1443360.0,220.53441197622212,310323733.94,-2.0447683412443407
2023-02-01,2023,2,294899969.04,1336556.0,220.64168582536013,311539337.2775,-7.354635249478026
2023-03-01,2023,3,333190074.83000004,1508521.0,220.87201625300543,313130753.4975,12.984099630341571
2023-04-01,2023,4,308241204.10999995,1395662.0,220.85662868946773,313464904.22333336,-7.487879323154956
2023-05-01,2023,5,334325813.13,1512575.0,221.03089971075812,315805067.5833333,8.462401739999503
2023-06-01,2023,6,322098718.82,1457651.0,220.971082117736,317074225.17583334,-3.6572390852888104
2023-07-01,2023,7,343307909.95,1469638.0,233.60032195003123,319942917.7283333,6.584686585435451
2023-08-01,2023,8,357700323.2,1531434.0,233.5721442778468,322796801.37666667,4.192275456774697
2023-09-01,2023,9,363197338.78,1485441.0,244.50472201857897,327078277.40666664,1.536765617325564
2023-10-01,2023,10,364863029.1,1492158.0,244.52037190431577,331447941.175,0.45861853657716
2023-11-01,2023,11,365199231.95,1494134.0,244.4220076311763,335857440.8533333,0.09214494842879617
2023-12-01,2023,12,374983123.17,1535085.0,244.2751529524424,340026440.41249996,2.679055804076702
2024-01-01,2024,1,375847712.94,1537994.0,244.3752790583058,344821204.085,0.2305676486693553
2024-02-01,2024,2,356304841.58,1457854.0,244.4036519294799,349938276.7966667,-5.199678137490704
2024-03-01,2024,3,370113558.41,1514265.0,244.41795749753183,353015233.76166666,3.8755344352792376
2024-04-01,2024,4,373850328.77,1529209.0,244.47301105996632,358482660.81666666,1.0096280655194079
2024-05-01,2024,5,387596104.3,1585120.0,244.52161621833048,362921851.74749994,3.676812476058222
