cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,valor_2015_2023,media_pre_pandemia,media_pandemia,media_pos_pandemia,crescimento_pos_vs_pre_pct,participacao_nacional_pct,ranking_valor
351880,GUARULHOS,35,16240606.71,16822541.8,17597068.81,17665266.68,18297932.21,19279887.49,19212483.47,21531317.72,23094675.7,169741780.58999997,17324683.242000002,19246185.479999997,22312996.71,28.793100562478948,0.5989050371235406,24
311860,CONTAGEM,31,16720576.18,17026301.21,18248874.74,15865046.11,16934907.89,18108819.58,17801156.37,19100884.08,21151433.48,160957999.64,16959141.226,17954987.975,20126158.78,18.67439814195697,0.5679129582278234,25
291080,FEIRA DE SANTANA,29,16866143.85,16644439.08,18903705.78,18596558.46,18255174.85,17412979.11,15938072.77,17658315.15,18355405.57,158630794.62,17853204.404000003,16675525.94,18006860.36,0.8606631757690053,0.5597018106597197,26
260400,CARPINA,26,11693702.2,12342112.76,14329118.16,14663524.45,14787667.96,17182730.6,17723875.96,20940059.68,22945200.66,146607992.43,13563225.106,17453303.28,21942630.17,61.78032878251929,0.5172813955627241,27
330490,SAO GONCALO,33,14562389.45,14688295.4,16469652.65,16454916.01,16740462.08,16252078.82,14865432.19,17235943.05,18343196.09,145612365.73999998,15783143.118,15558755.504999999,17789569.57,12.712464412185142,0.5137684959238548,28
317020,UBERLANDIA,31,12492164.46,12889558.39,14350431.81,14936168.22,15929031.38,16874262.89,16321046.12,18611228.92,20526899.63,142930791.82000002,14119470.852000002,16597654.504999999,19569064.275,38.59630066963926,0.504307017892195,29
330170,DUQUE DE CAXIAS,33,15758330.74,15227817.41,16085965.48,15587192.65,15475325.22,14714379.44,13644016.13,15679749.62,17271253.7,139444030.39,15626926.3,14179197.785,16475501.66,5.430212849983174,0.49200457251653884,30
354980,SAO JOSE DO RIO PRETO,35,12502792.58,13509532.44,14821623.6,14697653.64,15098960.73,15727031.58,14631770.33,16203451.7,19094869.82,136287686.42,14126112.598,15179400.955,17649160.759999998,24.939969418754295,0.480867949017263,31
411370,LONDRINA,41,11510677.85,10990867.43,12506611.01,12879997.29,14451697.22,16127329.45,16992235.96,18378357.87,19843786.82,133681560.9,12467970.16,16559782.705,19111072.345,53.28134491621208,0.47167267784784916,32
293330,VITORIA DA CONQUISTA,29,12339973.88,12591780.6,12333387.84,13044853.96,13427490.95,13821137.59,14939645.78,17158654.74,17511286.69,127168212.03,12747497.446,14380391.684999999,17334970.715,35.98724603345176,0.44869143284601765,33
330045,BELFORD ROXO,33,12716421.99,12802332.59,13531068.06,13767774.59,14154187.63,13826372.47,13070725.8,14931968.67,15843872.26,124644724.06000002,13394356.972000001,13448549.135000002,15387920.465,14.88360730692342,0.43978773423333395,34
313670,JUIZ DE FORA,31,11101312.17,12077145.51,13393445.57,13184915.56,13234921.79,13886479.37,13594388.97,15741581.07,17731270.46,123945460.47,12598348.120000001,13740434.17,16736425.765,32.846192259370575,0.4373205014467304,35
210530,IMPERATRIZ,21,10838501.84,11051146.13,11814573.7,11955573.43,13230256.74,14345158.97,14092665.78,16065081.58,18009367.53,121402325.7,11778010.368,14218912.375,17037224.555,44.652823547251266,0.42834748243783977,36
312770,GOVERNADOR VALADARES,31,10233003.0,10717370.74,12285806.28,13047646.49,13341519.94,14282029.39,13774181.51,15732789.54,17295402.48,120709749.37000002,11925069.290000001,14028105.45,16514096.01,38.48218076056143,0.42590384451211655,37
270030,ARAPIRACA,27,10017806.58,10960639.01,12205579.48,12910575.97,13202424.09,13178195.03,13310376.91,15465862.02,17588746.25,118840205.33999999,11859405.025999999,13244285.969999999,16527304.135,39.36031444044892,0.41930747599990104,38
355220,SOROCABA,35,10798919.49,10212831.42,10848841.78,10858933.83,10591880.26,10204643.09,10163280.26,20465061.51,24304787.23,118449178.87,10662281.355999999,10183961.675,22384924.37,109.9449791521709,0.41792780552797826,39
355410,TAUBATE,35,9944327.39,10968947.95,12750147.29,13089467.33,12817500.71,13769544.15,13765296.61,15426996.52,15378574.11,117910802.05999999,11914078.134,13767420.379999999,15402785.315,29.282225126961727,0.4160282344132016,40
520140,APARECIDA DE GOIANIA,52,8274955.32,9132719.21,11584087.64,13307693.52,13868467.81,14083768.49,13816860.22,15378014.53,16643233.55,116089800.28999999,11233584.7,13950314.355,16010624.04,42.52462119237861,0.40960313901905004,41
260410,CARUARU,26,9079315.42,8786002.29,10069911.08,11764162.81,12885405.84,12956234.44,12578110.13,14986290.91,18084312.73,111189745.64999999,10516959.488,12767172.285,16535301.82,57.22511662108249,0.3923141286417814,42
