ano,valor_aprovado,qtd_aprovada,meses_disponiveis,ano_completo,custo_medio,variacao_valor_pct
2015,2503308293.12,137147480.0,12,True,18.252674370101442,
2016,2593185777.83,140726310.0,12,True,18.42715678276507,3.5903482186758984
2017,2869625575.81,144603190.0,12,True,19.844828982057727,10.660238859220005
2018,2996360541.0,150863420.0,12,True,19.861412004314897,4.416428619062152
2019,3129327970.86,157989620.0,12,True,19.807174489437976,4.437631187588131
2020,3234830410.92,164363090.0,12,True,19.681002656496663,3.3714088469610326
2021,3226651873.1,164274090.0,12,True,19.64187945341837,-0.252827406110423
2022,3708411468.85,168661200.0,12,True,21.987341895172097,14.930634437707413
2023,4080317284.95,176622150.0,12,True,23.10195683242447,10.028709576160644
2024,4543024146.71,185845970.0,12,True,24.44510444165133,11.339972591510627
2025,4721394104.15,192634610.0,12,True,24.509583735497998,3.926238375139901
2026,1585779073.67,63455120.0,4,False,24.990561418369392,
