modelo,tipo,MAE,RMSE,MAPE_pct
ridge,aprendizagem,12571232.741822463,14662822.59341679,3.505999591230836
media_movel_12m,baseline,19485963.301041663,22180207.775804196,5.518896403815518
sazonal_ingenuo_12m,baseline,29828531.243076924,34306178.46260412,8.52039087704345
tendencia_linear,baseline,50928000.604430586,56698588.190681435,13.623398787840832
regressao_linear,aprendizagem,51440457.45329523,56264965.48527935,13.906730428972395
random_forest,aprendizagem,86644483.40239626,93908213.53424145,23.340647712431945
gradient_boosting,aprendizagem,94293470.75313304,101025079.11164485,25.49856430403953
