ano,valor_dialise,valor_ambulatorial_total,participacao_dialise_pct,variacao_anual_pct
2015,112826095.96000001,573315993.7900001,19.679565402343734,
2016,119094237.39999999,601719219.94,19.79232729376259,5.555577711580328
2017,132991951.45,635490885.49,20.92743648832281,11.669510089998703
2018,137957520.73999998,668076242.62,20.64996656653601,3.7337366929808935
2019,144749902.81000003,705863200.82,20.50679262523451,4.9235315578055605
2020,150406449.68000004,617853119.35,24.34339893569399,3.907807024523424
2021,153385349.12,695452291.4200001,22.055481161304705,1.9805662897686815
2022,181824756.61,842616448.5,21.57859093941008,18.541149890235364
2023,208005541.07999998,940591300.8900001,22.114338170380947,14.39891077437585
