cod_municipio,municipio,uf_ibge,valor_2015,qtd_2015,valor_2016,qtd_2016,valor_2017,qtd_2017,valor_2018,qtd_2018,valor_2019,qtd_2019,valor_2020,qtd_2020,valor_2021,qtd_2021,valor_2022,qtd_2022,valor_2023,qtd_2023,valor_2024,qtd_2024,valor_2025,qtd_2025,valor_2026,qtd_2026,periodo_analise,valor_periodo,qtd_periodo,custo_medio_periodo,media_valor_pre_pandemia,media_qtd_pre_pandemia,media_valor_pandemia,media_qtd_pandemia,media_valor_pos_pandemia,media_qtd_pos_pandemia,crescimento_valor_pos_vs_pre_pct,crescimento_qtd_pos_vs_pre_pct,participacao_valor_nacional_pct,participacao_qtd_nacional_pct,ranking_valor,ranking_qtd
270430,MACEIO,27,24152057.58,133187.0,24393352.85,133653.0,25881092.72,131516.0,26849118.14,136645.0,28929164.4,146674.0,30198138.89,154928.0,30107364.11,153275.0,35711819.87,162076.0,39554961.46,171392.0,44031220.11,181052.0,49372881.84,202406.0,26088369.29,103892.0,2015_2026,385269541.26000005,1810696.0,212.77428196671337,26040957.138,136335.0,30152751.5,154101.5,38951850.514,164163.6,49.57918139329798,20.411926504565958,0.9624019198637522,0.9632740926171547,11,11
221100,TERESINA,22,22018676.09,121112.0,23687739.97,128809.0,26359320.4,133595.0,27410497.12,139181.0,29209941.7,148207.0,29723850.7,151590.0,28584731.39,146161.0,33412437.06,152366.0,35800289.73,155564.0,39949940.33,163914.0,40351229.68,165601.0,21006245.7,84184.0,2015_2026,357514899.87,1690284.0,211.51173404587632,25737235.056,134180.8,29154291.045,148875.5,34104028.49999999,144325.8,32.50851704075912,7.5606942274900835,0.8930709261093305,0.8992159845525116,12,12
431490,PORTO ALEGRE,43,28405897.6,149514.0,28788970.86,147839.0,30444671.92,147310.0,29860570.42,145297.0,29722614.81,144636.0,28548913.91,141013.0,27161743.23,135399.0,30963469.66,139388.0,33767391.51,143373.0,35157688.45,140235.0,36282442.15,145541.0,15817095.940000001,61432.0,2015_2026,354921470.4599999,1640977.0,216.28668193399415,29444545.121999998,146919.2,27855328.57,138206.0,30397617.542000003,125993.8,3.2368386607810162,-14.242794678980019,0.8865925488281874,0.872985101132725,13,13
150140,BELEM,15,16859967.48,93536.0,17846762.69,96978.0,25329557.48,124994.0,26355599.59,130358.0,27101675.11,134398.0,26167882.41,129108.0,28689290.12,141540.0,34788255.25,154770.0,38110021.99,162369.0,42564587.08,171358.0,43068373.92,173584.0,20263525.66,78580.0,2015_2026,347145498.7800001,1591573.0,218.11471970182964,22698712.470000003,116052.8,27428586.265,135324.0,35758952.78,148132.2,57.53736176561206,27.642073263204338,0.8671681997110386,0.846702614579677,14,15
130260,MANAUS,13,19926790.52,108710.0,19170810.85,103437.0,20374336.45,102427.0,20271810.92,101989.0,23052023.67,116850.0,31090085.07,158129.0,29860678.34,150818.0,36970768.76,168584.0,39308585.08,169950.0,42109777.67,172003.0,41494503.87,169564.0,20815751.17,81477.0,2015_2026,344445922.37000006,1603938.0,214.75014768027197,20559154.482,106682.6,30475381.705,154473.5,36139877.31,152315.6,75.78484242453294,42.77454805188474,0.8604246676080177,0.8532806840928426,15,14
500270,CAMPO GRANDE,50,20995008.69,114843.0,20823070.61,112967.0,22817024.11,114972.0,23396404.21,117851.0,24325725.41,123045.0,26239998.22,133288.0,25721143.83,131072.0,29410167.26,133092.0,34492141.87,148845.0,38664673.15,158227.0,39471862.03,161694.0,16421570.36,65466.0,2015_2026,322778789.75,1515362.0,213.0044106622708,22471446.606,116735.6,25980571.025,132180.0,31692082.934000004,133464.8,41.03267800097055,14.330846802517815,0.8063002487317323,0.8061590435592262,16,16
410690,CURITIBA,41,21031176.4,113907.0,20584978.81,109854.0,22498926.59,111725.0,22968124.94,113940.0,23166803.2,114714.0,24622802.08,122808.0,23454482.35,119954.0,26358969.05,118508.0,30213580.03,129322.0,34276864.55,139160.0,35722675.04,145785.0,18439545.6,73417.0,2015_2026,303338928.64000005,1413094.0,214.66295139601473,22050001.987999998,112828.0,24038642.215,121381.0,29002326.853999995,121238.4,31.52981514370645,7.454178040911819,0.757739546027433,0.7517533813697858,17,17
350950,CAMPINAS,35,19766798.82,106414.0,22027434.93,116497.0,24618243.83,121961.0,25688034.71,127193.0,24806023.73,123156.0,24535394.62,122713.0,24349882.87,120859.0,25783332.7,115203.0,29524484.99,125813.0,31655160.86,127756.0,32168756.33,130121.0,16524862.010000002,65012.0,2015_2026,301448410.4,1402698.0,214.9061383134502,23381307.204,119044.2,24442638.745,121786.0,27131319.378,112781.0,16.03850520965935,-5.26123910278703,0.7530170383052727,0.7462228022627198,18,18
354340,RIBEIRAO PRETO,35,16826365.85,91166.0,17671586.26,94882.0,19513722.85,97530.0,20944095.09,103998.0,21174460.07,107063.0,21293329.36,108195.0,21181267.73,107268.0,23183063.19,105149.0,25399179.78,109699.0,28391696.35,115969.0,28559615.18,116560.0,14696696.860000001,58342.0,2015_2026,258835078.57000002,1215821.0,212.88913299737382,19226046.024,98927.8,21237298.545,107731.5,24046050.272,101143.8,25.0701794949578,2.2400174672842166,0.6465690896019864,0.6468059080927343,19,19
250750,JOAO PESSOA,25,12139709.84,66398.0,13338228.39,70986.0,16156501.43,79264.0,18053261.74,89207.0,21001055.52,104355.0,21769708.61,107975.0,21600291.31,107932.0,24986593.78,112600.0,28855318.94,123564.0,33922584.4,137846.0,32091465.43,130540.0,13238018.83,52894.0,2015_2026,257152738.22000003,1183561.0,217.27037154823455,16137751.383999998,82042.0,21684999.96,107953.5,26618796.276,111488.8,64.94736870461138,35.89234782184736,0.6423666094956975,0.6296438763503382,20,21
